sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:extra_codes,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
LABO_BE002859,Platelets - Bloedplaatjes (bloed) - automaat - thrombocyten - BE002859,2594298,,777-3,1.00,APPROVED,EQUAL,etl,1660028797633,3024929,Platelets [#/volume] in Blood by Automated count,Measurement,MAPS_TO,AUTO MAPPED,etl,1660028797633,
LABO_BE002870,Urea - Ureum (serum/plasma) [mg/dL] - ureum - BE002870,2389528,,3091-6,1.00,APPROVED,EQUAL,etl,1660028797633,3034204,Urea [Mass/volume] in Serum or Plasma,Measurement,MAPS_TO,AUTO MAPPED,etl,1660028797633,
LABO_AZ001648,Lymphocytes - Witte bloedcellen differentiatie: Lymfocyten (bloed) - in #/volume - automaat - lymfocyten - AZ001648,2125508,,731-0,1.00,APPROVED,EQUAL,etl,1660028797633,3004327,Lymphocytes [#/volume] in Blood by Automated count,Measurement,MAPS_TO,AUTO MAPPED,etl,1660028797633,
LABO_AZ001797,Neutrophils - Witte bloedcellen differentiatie: Neutrofielen (bloed) - in #/volume - neutrofielen - AZ001797,2125360,,26499-4,1.00,APPROVED,EQUAL,etl,1660028797633,3017732,Neutrophils [#/volume] in Blood,Measurement,MAPS_TO,AUTO MAPPED,etl,1660028797633,
LABO_AZ001010,Eosinophils - Witte bloedcellen differentiatie: Eosinofielen (bloed) - in #/volume - eosinofielen - AZ001010,2125255,,26449-9,1.00,APPROVED,EQUAL,etl,1660028797633,3013115,Eosinophils [#/volume] in Blood,Measurement,MAPS_TO,AUTO MAPPED,etl,1660028797633,
LABO_AZ000248,Basophils - Witte bloedcellen differentiatie: Basofielen (bloed) - in #/volume - basofielen - AZ000248,2125141,,26444-0,1.00,APPROVED,EQUAL,etl,1660028797633,3006315,Basophils [#/volume] in Blood,Measurement,MAPS_TO,AUTO MAPPED,etl,1660028797633,
LABO_AZ001773,Monocytes - Witte bloedcellen differentiatie: Monocyten (bloed) - in #/volume - monocyten - AZ001773,2125136,,26484-6,1.00,APPROVED,EQUAL,etl,1660028797633,3001604,Monocytes [#/volume] in Blood,Measurement,MAPS_TO,AUTO MAPPED,etl,1660028797633,
LABO_CS000208,Aspartate aminotransferase - Aspartaat-aminotransferase (serum/plasma) [U/L] - AST - CS000208,2074656,,1920-8,1.00,APPROVED,EQUAL,etl,1660028797633,3013721,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,Measurement,MAPS_TO,AUTO MAPPED,etl,1660028797633,
LABO_CS000211,Alanine aminotransferase - Alanine-aminotransferase (serum/plasma) [U/L] - ALT - CS000211,2038923,,1742-6,1.00,APPROVED,EQUAL,etl,1660028797633,3006923,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,Measurement,MAPS_TO,AUTO MAPPED,etl,1660028797633,
LABO_AZ001603,Glomerular filtration rate/1.73 sq M.predicted - Estimatie glomerulaire filtratie - CKD-EPI - GFR schatting (CKD-EPI) - AZ001603,1978764,,62238-1,1.00,APPROVED,EQUAL,etl,1660028797633,40764999,"Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (CKD-EPI)",Measurement,MAPS_TO,AUTO MAPPED,etl,1660028797633,
LABO_CS000171,Chloride - Chloride (serum/plasma) [mmol/L] - chloride - CS000171,1977036,,2075-0,1.00,APPROVED,EQUAL,etl,1660028797633,3014576,Chloride [Moles/volume] in Serum or Plasma,Measurement,MAPS_TO,AUTO MAPPED,etl,1660028797633,
LABO_CS000205,Gamma glutamyl transferase - Gamma glutamyl transferase (serum/plasma) [U/L] - gamma GT - CS000205,1865018,,2324-2,1.00,APPROVED,EQUAL,etl,1660028797633,3026910,Gamma glutamyl transferase [Enzymatic activity/volume] in Serum or Plasma,Measurement,MAPS_TO,AUTO MAPPED,etl,1660028797633,
LABO_BE002863,neutrofilie abs - BE002863,1820968,,NEUT,0.00,APPROVED,EQUAL,Stijn Dupulthys,1660035732760,3017732,Neutrophils [#/volume] in Blood,Measurement,MAPS_TO,NOT AUTO MAPPED,Stijn Dupulthys,1660035730828,
LABO_AZ001361,Bicarbonate - Bicarbonaat (serum/plasma) [mmol/L] - bicarbonaat - AZ001361,1797863,,1963-8,1.00,APPROVED,EQUAL,etl,1660028797633,3016293,Bicarbonate [Moles/volume] in Serum or Plasma,Measurement,MAPS_TO,AUTO MAPPED,etl,1660028797633,
LABO_CS000203,Alkaline phosphatase - Alkalische fosfatasen (serum/plasma) [U/L] - alkalische fosfatase - CS000203,1754309,,6768-6,1.00,APPROVED,EQUAL,etl,1660028797633,3035995,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma,Measurement,MAPS_TO,AUTO MAPPED,etl,1660028797633,
LABO_CS000277,C reactive protein - C reactive protein (serum/plasma) [mg/L] - CRP (mg/L) - CS000277,1659811,,1988-5,1.00,APPROVED,EQUAL,etl,1660028797633,3020460,C reactive protein [Mass/volume] in Serum or Plasma,Measurement,MAPS_TO,AUTO MAPPED,etl,1660028797633,
LABO_BE002888,Glucose - BE002888,1611915,,02300A.B - glu,0.00,APPROVED,EQUAL,Stijn Dupulthys,1660035805272,3000483,Glucose [Mass/volume] in Blood,Measurement,MAPS_TO,NOT AUTO MAPPED,Stijn Dupulthys,1660035803658,
LABO_BE002864,Bilirubin - Bilirubine totaal (serum/plasma) [mg/dL] - Bilirubine Totaal - BE002864,1544958,,1975-2,1.00,APPROVED,EQUAL,etl,1660028797633,3024128,Bilirubin.total [Mass/volume] in Serum or Plasma,Measurement,MAPS_TO,AUTO MAPPED,etl,1660028797633,
LABO_AZ001819,normoblasten - AZ001819,1526095,,03750A.B - NORMOBL,0.00,APPROVED,EQUAL,Stijn Dupulthys,1660035837567,3029160,Normoblasts/100 leukocytes in Blood,Measurement,MAPS_TO,NOT AUTO MAPPED,Stijn Dupulthys,1660035836226,
LABO_AZ000865,C reactive protein - C reactive protein (serum/plasma) [mg/L] - CRP (mg/dl) - AZ000865,1431610,,1988-5,1.00,APPROVED,EQUAL,etl,1660028797633,3020460,C reactive protein [Mass/volume] in Serum or Plasma,Measurement,MAPS_TO,AUTO MAPPED,etl,1660028797633,
LABO_BE002869,Coagulation tissue factor induced actual/Normal - Protrombinetijd (plaatjesarm plasma) - in % - PT (%) - BE002869,1421989,,5894-1,1.00,APPROVED,EQUAL,etl,1660028797633,3033658,Prothrombin time (PT) actual/Normal,Measurement,MAPS_TO,AUTO MAPPED,etl,1660028797633,
LABO_AZ001649,absoluut aantal lymfo - AZ001649,1417065,,LYMFOT,0.00,APPROVED,EQUAL,Stijn Dupulthys,1660035952625,3019198,Lymphocytes [#/volume] in Blood,Measurement,MAPS_TO,NOT AUTO MAPPED,Stijn Dupulthys,1660035948895,
LABO_CS000214,Lactate dehydrogenase - Lactaat dehydrogenase (serum/plasma) [U/L] - LDH - CS000214,1367013,,14804-9,1.00,APPROVED,EQUAL,etl,1660028797633,3022250,Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma by Lactate to pyruvate reaction,Measurement,MAPS_TO,AUTO MAPPED,etl,1660028797633,
LABO_AZ002049,Coagulation tissue factor induced.INR - Protrombinetijd (plaatjesarm plasma) - in INR - PT (INR) - AZ002049,1148525,,6301-6,1.00,APPROVED,EQUAL,etl,1660028797633,3022217,INR in Platelet poor plasma by Coagulation assay,Measurement,MAPS_TO,AUTO MAPPED,etl,1660028797633,
LABO_AZ001492,immature granulocyten - AZ001492,1148329,,IMMATGRAN,0.00,APPROVED,EQUAL,Stijn Dupulthys,1660036009832,3050479,Immature granulocytes/100 leukocytes in Blood,Measurement,MAPS_TO,NOT AUTO MAPPED,Stijn Dupulthys,1660036008531,
LABO_CS001123,pH - CS001123,1110376,,63025E.B - PH,0.00,APPROVED,EQUAL,Stijn Dupulthys,1660045736777,3010421,pH of Blood,Measurement,MAPS_TO,NOT AUTO MAPPED,Stijn Dupulthys,1660045735841,
LABO_CS001125,pO2 - CS001125,1109580,,pO2,0.00,APPROVED,EQUAL,Stijn Dupulthys,1660045752105,3027315,Oxygen [Partial pressure] in Blood,Measurement,MAPS_TO,NOT AUTO MAPPED,Stijn Dupulthys,1660045750921,
LABO_CS001121,pCO2 - CS001121,1109170,,pCO2,0.00,APPROVED,EQUAL,Stijn Dupulthys,1660045769747,3013290,Carbon dioxide [Partial pressure] in Blood,Measurement,MAPS_TO,NOT AUTO MAPPED,Stijn Dupulthys,1660045768685,
LABO_CS001101,base excess - CS001101,1105744,,57159C.B - BE,0.00,APPROVED,EQUAL,Stijn Dupulthys,1660045785722,3012501,Base excess in Blood by calculation,Measurement,MAPS_TO,NOT AUTO MAPPED,Stijn Dupulthys,1660045784534,
LABO_AZ000023,bicarbonaat - AZ000023,1082524,,ABC,0.00,APPROVED,EQUAL,Stijn Dupulthys,1660045803828,3006576,Bicarbonate [Moles/volume] in Blood,Measurement,MAPS_TO,NOT AUTO MAPPED,Stijn Dupulthys,1660045802712,
LABO_CS001119,Oxygen saturation - Zuurstof saturatie (arterieel bloed) - berekend - O2-saturatie - CS001119,1049408,,51733-4,1.00,APPROVED,EQUAL,etl,1660028797633,3039426,Oxygen saturation Calculated from oxygen partial pressure in Arterial blood,Measurement,MAPS_TO,AUTO MAPPED,etl,1660028797633,
LABO_AZ000249,absoluut aantal baso - AZ000249,950990,,BASOT,0.00,APPROVED,EQUAL,Stijn Dupulthys,1660036185528,3006315,Basophils [#/volume] in Blood,Measurement,MAPS_TO,NOT AUTO MAPPED,Stijn Dupulthys,1660036183949,
LABO_AZ001775,absoluut aantal mono - AZ001775,950982,,MONOT,0.00,APPROVED,EQUAL,Stijn Dupulthys,1660036198532,3001604,Monocytes [#/volume] in Blood,Measurement,MAPS_TO,NOT AUTO MAPPED,Stijn Dupulthys,1660036197387,
LABO_CS002381,Calcium - Calcium (serum/plasma) - in massa/volume  - calcium (mmol/L) - CS002381,935184,,17861-6,1.00,APPROVED,EQUAL,etl,1660028797633,3006906,Calcium [Mass/volume] in Serum or Plasma,Measurement,MAPS_TO,AUTO MAPPED,etl,1660028797633,
LABO_AZ002688,Urate - Urinezuur (serum/plasma) [mg/dL] - urinezuur - AZ002688,912718,,3084-1,1.00,APPROVED,EQUAL,etl,1660028797633,3037556,Urate [Mass/volume] in Serum or Plasma,Measurement,MAPS_TO,AUTO MAPPED,etl,1660028797633,
LABO_CS000217,Creatine kinase - Creatine kinase (serum/plasma) - CK - CS000217,909769,,2157-6,1.00,APPROVED,EQUAL,etl,1660028797633,3007220,Creatine kinase [Enzymatic activity/volume] in Serum or Plasma,Measurement,MAPS_TO,AUTO MAPPED,etl,1660028797633,
LABO_AZ001011,totale eosinofilie - AZ001011,909733,,13701A.B - EOST,0.00,APPROVED,EQUAL,Stijn Dupulthys,1660036219817,3013115,Eosinophils [#/volume] in Blood,Measurement,MAPS_TO,NOT AUTO MAPPED,Stijn Dupulthys,1660036216030,
LABO_AZ000452,Calcium - Calcium (serum/plasma) - in massa/volume  - calcium (mg/dl) - AZ000452,872533,,17861-6,1.00,APPROVED,EQUAL,etl,1660028797633,3006906,Calcium [Mass/volume] in Serum or Plasma,Measurement,MAPS_TO,AUTO MAPPED,etl,1660028797633,
LABO_CS001108,kalium bloedgas - CS001108,816283,,bK,0.00,APPROVED,EQUAL,Stijn Dupulthys,1660045823111,3005456,Potassium [Moles/volume] in Blood,Measurement,MAPS_TO,NOT AUTO MAPPED,Stijn Dupulthys,1660045821917,
LABO_BE002871,Bilirubin.glucuronidated - Bilirubine geconjugeerd (serum/plasma) [mg/dL] - bilirubine direct - BE002871,789366,,15152-2,1.00,APPROVED,EQUAL,etl,1660028797633,3019676,Bilirubin.conjugated [Mass/volume] in Serum or Plasma,Measurement,MAPS_TO,AUTO MAPPED,etl,1660028797633,
LABO_CS001603,von Willebrand factor Ag actual/Normal - von Willebrand factor antigeen (plaatjesarm plasma) - in % - Overige - CS001603,768669,,27816-8,1.00,APPROVED,EQUAL,etl,1660028797633,3036035,von Willebrand factor (vWf) Ag actual/normal in Platelet poor plasma by Immunoassay,Measurement,MAPS_TO,AUTO MAPPED,etl,1660028797633,
LABO_AZ002438,Thyrotropin - Thyroïd stimulerend hormoon (serum/plasma) - TSH - AZ002438,760793,,3016-3,1.00,APPROVED,EQUAL,etl,1660028797633,3009201,Thyrotropin [Units/volume] in Serum or Plasma,Measurement,MAPS_TO,AUTO MAPPED,etl,1660028797633,
LABO_CS000090,Coagulation surface induced - Geactiveerde partiële tromboplastinetijd (plaatjesarm plasma) - in sec - aPTT - CS000090,755005,,14979-9,1.00,APPROVED,EQUAL,etl,1660028797633,3018677,aPTT in Platelet poor plasma by Coagulation assay,Measurement,MAPS_TO,AUTO MAPPED,etl,1660028797633,
LABO_AZ001355,oxyhemoglobine - AZ001355,747467,,HBO2,0.00,APPROVED,EQUAL,Stijn Dupulthys,1660045837554,3014646,Fractional oxyhemoglobin in Blood,Measurement,MAPS_TO,NOT AUTO MAPPED,Stijn Dupulthys,1660045835983,
LABO_CS001111,natrium bloedgas - CS001111,721609,,bNa,0.00,APPROVED,EQUAL,Stijn Dupulthys,1660045852364,3000285,Sodium [Moles/volume] in Blood,Measurement,MAPS_TO,NOT AUTO MAPPED,Stijn Dupulthys,1660045851246,
LABO_AZ001384,gereduceerd hemoglobine - AZ001384,717302,,HHB,0.00,APPROVED,EQUAL,Stijn Dupulthys,1660045867291,3011689,Deoxyhemoglobin/Hemoglobin.total in Blood,Measurement,MAPS_TO,NOT AUTO MAPPED,Stijn Dupulthys,1660045866221,
LABO_AZ000275,hemoglobine - AZ000275,700323,,bHB,0.00,APPROVED,EQUAL,Stijn Dupulthys,1660045882036,3000963,Hemoglobin [Mass/volume] in Blood,Measurement,MAPS_TO,NOT AUTO MAPPED,Stijn Dupulthys,1660045880671,
LABO_AZ002351,Protein - Eiwit totaal (serum/plasma) - [g/L] - totaal eiwit (g/dl) - AZ002351,637256,,2885-2,1.00,APPROVED,EQUAL,etl,1660028797633,3020630,Protein [Mass/volume] in Serum or Plasma,Measurement,MAPS_TO,AUTO MAPPED,etl,1660028797633,
LABO_AZ000278,hematocriet - AZ000278,624388,,bHCT,0.00,APPROVED,EQUAL,Stijn Dupulthys,1660045906250,3009542,Hematocrit [Volume Fraction] of Blood,Measurement,MAPS_TO,NOT AUTO MAPPED,Stijn Dupulthys,1660045904645,
LABO_CS002383,Calcium.ionized - Geïoniseerd Calcium gemeten (bloed) - in moles/volume [mmol/L] - geioniseerd Calcium (bij in vivo pH) - CS002383,622503,,47596-2,1.00,APPROVED,EQUAL,etl,1660028797633,3050068,Calcium.ionized [Moles/volume] in Blood by Ion-selective membrane electrode (ISE),Measurement,MAPS_TO,AUTO MAPPED,etl,1660028797633,
LABO_BE002872,Lactate - Lactaat (serum/plasma) - lactaat - BE002872,620818,,2524-7,1.00,APPROVED,EQUAL,etl,1660028797633,3014111,Lactate [Moles/volume] in Serum or Plasma,Measurement,MAPS_TO,AUTO MAPPED,etl,1660028797633,
LABO_AZ001850,Phosphate - Fosfaat (serum/plasma) - fosfor (mg/dl) - AZ001850,617479,,2777-1,1.00,APPROVED,EQUAL,etl,1660028797633,3011904,Phosphate [Mass/volume] in Serum or Plasma,Measurement,MAPS_TO,AUTO MAPPED,etl,1660028797633,
LABO_AZ001452,geïoniseerd Calcium (bij pH=7.40) - AZ001452,591271,,iCa7.4,0.00,APPROVED,EQUAL,Stijn Dupulthys,1660036959422,3021119,Calcium.ionized [Moles/volume] in Blood,Measurement,MAPS_TO,Blood or Serum or Plasma?,Stijn Dupulthys,1660036937262,
LABO_AZ002568,pH - AZ002568,561503,,139001.U - UPH,0.00,APPROVED,EQUAL,Stijn Dupulthys,1660037365310,3029305,pH of Urine by Automated test strip,Measurement,MAPS_TO,NOT AUTO MAPPED,Stijn Dupulthys,1660037364152,
LABO_CS001107,chloride bloedgas - CS001107,557432,,bCl,0.00,APPROVED,EQUAL,Stijn Dupulthys,1660045921563,3018572,Chloride [Moles/volume] in Blood,Measurement,MAPS_TO,NOT AUTO MAPPED,Stijn Dupulthys,1660045920514,
LABO_AZ002091,Reticulocytes/100 erythrocytes - Reticulocyten (bloed) - in % - reticulocyten - AZ002091,551417,,4679-7,1.00,APPROVED,EQUAL,etl,1660028797633,3027945,Reticulocytes/100 erythrocytes in Blood,Measurement,MAPS_TO,AUTO MAPPED,etl,1660028797633,
LABO_AZ002570,hemoglobine - AZ002570,551015,,13900D.U - URBC,0.00,APPROVED,EQUAL,Stijn Dupulthys,1660037389963,40760861,Hemoglobin [Presence] in Urine by Automated test strip,Measurement,MAPS_TO,NOT AUTO MAPPED,Stijn Dupulthys,1660037388536,
LABO_CS002485,glucose (bloedgas) - CS002485,550255,,bG,0.00,APPROVED,EQUAL,Stijn Dupulthys,1660045937074,3000483,Glucose [Mass/volume] in Blood,Measurement,MAPS_TO,NOT AUTO MAPPED,Stijn Dupulthys,1660045935905,
LABO_AZ001851,Phosphate - Fosfaat (serum/plasma) - fosfor (mmol/L) - AZ001851,548881,,2777-1,1.00,APPROVED,EQUAL,etl,1660028797633,3011904,Phosphate [Mass/volume] in Serum or Plasma,Measurement,MAPS_TO,AUTO MAPPED,etl,1660028797633,
LABO_AZ001185,Ferritin - Ferritine (serum/plasma) - in mass/volume [µg/L] - ferritine - AZ001185,546626,,2276-4,1.00,APPROVED,EQUAL,etl,1660028797633,3001122,Ferritin [Mass/volume] in Serum or Plasma,Measurement,MAPS_TO,AUTO MAPPED,etl,1660028797633,
LABO_AZ002565,ketonen - AZ002565,541790,,13900C.U - UKET,0.00,APPROVED,EQUAL,Stijn Dupulthys,1660037405212,40760844,Ketones [Presence] in Urine by Automated test strip,Measurement,MAPS_TO,NOT AUTO MAPPED,Stijn Dupulthys,1660037404025,
LABO_AZ002559,Erythrocyten - AZ002559,538584,,13901C.U - UFRBC,0.00,APPROVED,EQUAL,Stijn Dupulthys,1660037180751,3002582,Erythrocytes [#/volume] in Urine,Measurement,MAPS_TO,NOT AUTO MAPPED,Stijn Dupulthys,1660037179324,
LABO_CS003762,Leukocyten - CS003762,536622,,13901D.U - UFWBC,0.00,APPROVED,EQUAL,Stijn Dupulthys,1660037197212,3018095,Leukocytes [#/volume] in Urine,Measurement,MAPS_TO,NOT AUTO MAPPED,Stijn Dupulthys,1660037192794,
LABO_AZ002553,eiwit - AZ002553,528496,,13900M.U - UEIW,0.00,APPROVED,EQUAL,Stijn Dupulthys,1660037433275,40760845,Protein [Presence] in Urine by Automated test strip,Measurement,MAPS_TO,NOT AUTO MAPPED,Stijn Dupulthys,1660037432023,
LABO_AZ002564,Glucose - Glucose (urine) - kwalitatief - teststrook - glucose - AZ002564,528299,,50555-2,1.00,APPROVED,EQUAL,etl,1660028797633,3030260,Glucose [Presence] in Urine by Automated test strip,Measurement,MAPS_TO,AUTO MAPPED,etl,1660028797633,
LABO_CS001636,Soortelijk gewicht - CS001636,526998,,13900T.U - USG,0.00,APPROVED,EQUAL,Stijn Dupulthys,1660037300828,3039919,Specific gravity of Urine by Automated test strip,Measurement,MAPS_TO,NOT AUTO MAPPED,Stijn Dupulthys,1660037299689,
LABO_AZ001606,Triacylglycerol lipase - Lipase (serum/plasma) - lipase - AZ001606,526814,,3040-3,1.00,APPROVED,EQUAL,etl,1660028797633,3004905,Lipase [Enzymatic activity/volume] in Serum or Plasma,Measurement,MAPS_TO,AUTO MAPPED,etl,1660028797633,
LABO_AZ002566,leucocyten - AZ002566,526084,,13900Q.U - ULEU,0.00,APPROVED,EQUAL,Stijn Dupulthys,1660037828706,40763086,Leukocyte esterase [Presence] in Urine by Automated test strip,Measurement,MAPS_TO,NOT AUTO MAPPED,Stijn Dupulthys,1660037827161,
LABO_CS003763,nitriet - CS003763,525638,,13900V.U - UNO2,0.00,APPROVED,EQUAL,Stijn Dupulthys,1660037838013,3030758,Nitrite [Presence] in Urine by Automated test strip,Measurement,MAPS_TO,NOT AUTO MAPPED,Stijn Dupulthys,1660037836598,
LABO_AZ001172,Iron - Ijzer (serum/plasma) - in mass/volume [µg/dl] - ijzer - AZ001172,523959,,2498-4,1.00,APPROVED,EQUAL,etl,1660028797633,3002400,Iron [Mass/volume] in Serum or Plasma,Measurement,MAPS_TO,AUTO MAPPED,etl,1660028797633,
LABO_BE002874,Cholesterol - Cholesterol (serum/plasma) - [mg/dL] - cholesterol - BE002874,514457,,2093-3,1.00,APPROVED,EQUAL,etl,1660028797633,3027114,Cholesterol [Mass/volume] in Serum or Plasma,Measurement,MAPS_TO,AUTO MAPPED,etl,1660028797633,
LABO_AZ001687,Screening op MRSA - AZ001687,512478,,63070S.A - M_MRSA,0.00,APPROVED,EQUAL,Stijn Dupulthys,1660038318949,3019902,Methicillin resistant Staphylococcus aureus [Presence] in Specimen by Organism specific culture,Measurement,MAPS_TO,cultuur of moleculaire test?,Stijn Dupulthys,1660038289651,
LABO_AZ002093,Reticulocytes - Reticulocyten (bloed) - in #/volume - reticulocytose - AZ002093,510898,,14196-0,1.00,APPROVED,EQUAL,etl,1660028797633,3023520,Reticulocytes [#/volume] in Blood,Measurement,MAPS_TO,AUTO MAPPED,etl,1660028797633,
LABO_AZ001330,glucose - AZ001330,504570,,13511..B - GT,0.00,APPROVED,EQUAL,Stijn Dupulthys,1660038517876,3040820,Glucose [Mass/volume] in Serum or Plasma --pre-meal,Measurement,MAPS_TO,NOT AUTO MAPPED,Stijn Dupulthys,1660038515557,
LABO_AZ002352,Protein - Eiwit totaal (serum/plasma) - [g/L] - totaal eiwit (g/L) - AZ002352,470767,,2885-2,1.00,APPROVED,EQUAL,etl,1660028797633,3020630,Protein [Mass/volume] in Serum or Plasma,Measurement,MAPS_TO,AUTO MAPPED,etl,1660028797633,
LABO_BE002877,Triglyceride - Triglyceriden (serum/plasma) [mg/dL] - triglyceriden - BE002877,465735,,2571-8,1.00,APPROVED,EQUAL,etl,1660028797633,3022192,Triglyceride [Mass/volume] in Serum or Plasma,Measurement,MAPS_TO,AUTO MAPPED,etl,1660028797633,
LABO_AZ000082,Albumin/Protein.total - Eiwitelektroforese: albumine (serum/plasma) - in % - albumine % - AZ000082,452271,,13980-8,1.00,APPROVED,EQUAL,etl,1660028797633,3007424,Albumin/Protein.total in Serum or Plasma by Electrophoresis,Measurement,MAPS_TO,AUTO MAPPED,etl,1660028797633,
LABO_AZ000431,Beta globulin/Protein.total - Eiwitelektroforese: beta globuline (serum/plasma) - in % - beta globulines % - AZ000431,452137,,13982-4,1.00,APPROVED,EQUAL,etl,1660028797633,3022077,Beta globulin/Protein.total in Serum or Plasma by Electrophoresis,Measurement,MAPS_TO,AUTO MAPPED,etl,1660028797633,
LABO_AZ001324,Gamma globulin/Protein.total - Eiwitelektroforese: gamma globuline (serum/plasma) - in % - gamma globulines % - AZ001324,452122,,13983-2,1.00,APPROVED,EQUAL,etl,1660028797633,3025180,Gamma globulin/Protein.total in Serum or Plasma by Electrophoresis,Measurement,MAPS_TO,AUTO MAPPED,etl,1660028797633,
LABO_AZ000020,Alpha 2 globulin/Protein.total - Eiwitelektroforese: alfa 2 globuline (serum/plasma) - in % - alfa-2 globulines % - AZ000020,452093,,13981-6,1.00,APPROVED,EQUAL,etl,1660028797633,3006330,Alpha 2 globulin/Protein.total in Serum or Plasma by Electrophoresis,Measurement,MAPS_TO,AUTO MAPPED,etl,1660028797633,
LABO_AZ000017,Alpha 1 globulin/Protein.total - Eiwitelektroforese: alfa 1 globuline (serum/plasma) - in % - alfa-1 globulines % - AZ000017,451480,,13978-2,1.00,APPROVED,EQUAL,etl,1660028797633,3024800,Alpha 1 globulin/Protein.total in Serum or Plasma by Electrophoresis,Measurement,MAPS_TO,AUTO MAPPED,etl,1660028797633,
LABO_BE002875,Cholesterol.in HDL - High density lipoprotein cholesterol (serum/plasma) - [mg/dL] - HDL-cholesterol - BE002875,440579,,2085-9,1.00,APPROVED,EQUAL,etl,1660028797633,3007070,Cholesterol in HDL [Mass/volume] in Serum or Plasma,Measurement,MAPS_TO,AUTO MAPPED,etl,1660028797633,
LABO_CS000182,Magnesium - Magnesium (serum/plasma) - magnesium - CS000182,438777,,19123-9,1.00,APPROVED,EQUAL,etl,1660028797633,3001420,Magnesium [Mass/volume] in Serum or Plasma,Measurement,MAPS_TO,AUTO MAPPED,etl,1660028797633,
LABO_00000027,AARD - 00000027,434818,,AARD,0.00,APPROVED,EQUAL,Stijn Dupulthys,1660046306143,4048506,Specimen,Specimen,MAPS_TO,NOT AUTO MAPPED,Stijn Dupulthys,1660046305191,
