sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:AdditionalInformation,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
AWELL_EORTCQLQLC13_Q12_Not_at_all,Not at all,816,,12: Have you had pain in other parts of your body?,1.00,APPROVED,EQUAL,Louise,1637565310305,45883172,Not at all,Meas Value,MAPS_TO,,<auto>,1637565245108,
AWELL_EORTCQLQLC13_Q01_Not_at_all,Not at all,497,,1: How much did you cough?,1.00,APPROVED,EQUAL,Louise,1637565310305,45883172,Not at all,Meas Value,MAPS_TO,,<auto>,1637565245144,
AWELL_EORTCQLQLC13_Q08_Not_at_all,Not at all,1123,,8: Have you had tingling hands or feet?,1.00,APPROVED,EQUAL,Louise,1637565310305,45883172,Not at all,Meas Value,MAPS_TO,,<auto>,1637565245159,
AWELL_EORTCQLQLC13_Q04_A_little,A little,715,,4: Were you short of breath when you walked?,1.00,APPROVED,EQUAL,Louise,1637565315345,45876949,A little,Meas Value,MAPS_TO,,<auto>,1637565245231,
AWELL_EORTCQLQLC13_Q04_Quite,Quite,276,,4: Were you short of breath when you walked?,0.65,APPROVED,EQUAL,Louise,1637565301210,45884456,Quite a bit,Meas Value,MAPS_TO,,Louise,1637565297050,
AWELL_EORTCQLQLC13_Q11_Quite,Quite,107,,11: Have you had pain in your arm or shoulder?,0.65,APPROVED,EQUAL,Louise,1637565301210,45884456,Quite a bit,Meas Value,MAPS_TO,,Louise,1637565297050,
AWELL_EORTCQLQLC13_Q11_A_little,A little,334,,11: Have you had pain in your arm or shoulder?,1.00,APPROVED,EQUAL,Louise,1637565315345,45876949,A little,Meas Value,MAPS_TO,,<auto>,1637565245395,
AWELL_EORTCQLQLC13_Q07_Very_much,Very much,11,,7: Have you had trouble swallowing?,1.00,APPROVED,EQUAL,Louise,1637565282715,45885256,Very much,Meas Value,MAPS_TO,,<auto>,1637565245421,
AWELL_EORTCQLQLC13_Q04_Very_much,Very much,90,,4: Were you short of breath when you walked?,1.00,APPROVED,EQUAL,Louise,1637565282715,45885256,Very much,Meas Value,MAPS_TO,,<auto>,1637565245430,
AWELL_EORTCQLQLC13_Q07_A_little,A little,229,,7: Have you had trouble swallowing?,1.00,APPROVED,EQUAL,Louise,1637565315345,45876949,A little,Meas Value,MAPS_TO,,<auto>,1637565245434,
AWELL_EORTCQLQLC13_Q01_Quite,Quite,265,,1: How much did you cough?,0.65,APPROVED,EQUAL,Louise,1637565301210,45884456,Quite a bit,Meas Value,MAPS_TO,,Louise,1637565297050,
AWELL_EORTCQLQLC13_Q03_Quite,Quite,75,,3: Were you short of breath when you rested?,0.65,APPROVED,EQUAL,Louise,1637565301210,45884456,Quite a bit,Meas Value,MAPS_TO,,Louise,1637565297050,
AWELL_EORTCQLQLC13_Q13_Very_much,Very much,131,,'If yes,1.00,APPROVED,EQUAL,Louise,1637565282715,45885256,Very much,Meas Value,MAPS_TO,,<auto>,1637565245620,
AWELL_part_2_true,true,702,,'During the past week,1.00,APPROVED,EQUAL,Louise,1637565290811,45879152,True,Meas Value,MAPS_TO,,<auto>,1637565245661,
AWELL_EORTCQLQLC13_Q06_Very_much,Very much,6,,6: Have you had a sore mouth or tongue?,1.00,APPROVED,EQUAL,Louise,1637565282715,45885256,Very much,Meas Value,MAPS_TO,,<auto>,1637565245666,
AWELL_EORTCQLQLC13_Q01_A_little,A little,749,,1: How much did you cough?,1.00,APPROVED,EQUAL,Louise,1637565315345,45876949,A little,Meas Value,MAPS_TO,,<auto>,1637565245734,
AWELL_EORTCQLQLC13_Q03_Not_at_all,Not at all,1088,,3: Were you short of breath when you rested?,1.00,APPROVED,EQUAL,Louise,1637565310305,45883172,Not at all,Meas Value,MAPS_TO,,<auto>,1637565245758,
AWELL_EORTCQLQLC13_Q04_Not_at_all,Not at all,487,,4: Were you short of breath when you walked?,1.00,APPROVED,EQUAL,Louise,1637565310305,45883172,Not at all,Meas Value,MAPS_TO,,<auto>,1637565245762,
AWELL_EORTCQLQLC13_Q06_Not_at_all,Not at all,1369,,6: Have you had a sore mouth or tongue?,1.00,APPROVED,EQUAL,Louise,1637565310305,45883172,Not at all,Meas Value,MAPS_TO,,<auto>,1637565245918,
AWELL_EORTCQLQLC13_Q13_Quite,Quite,332,,'If yes,0.65,APPROVED,EQUAL,Louise,1637565301210,45884456,Quite a bit,Meas Value,MAPS_TO,,Louise,1637565297050,
AWELL_EORTCQLQLC13_Q07_Quite,Quite,52,,7: Have you had trouble swallowing?,0.65,APPROVED,EQUAL,Louise,1637565301210,45884456,Quite a bit,Meas Value,MAPS_TO,,Louise,1637565297050,
AWELL_EORTCQLQLC13_Q06_Quite,Quite,41,,6: Have you had a sore mouth or tongue?,0.65,APPROVED,EQUAL,Louise,1637565301210,45884456,Quite a bit,Meas Value,MAPS_TO,,Louise,1637565297050,
AWELL_EORTCQLQLC13_Q06_A_little,A little,171,,6: Have you had a sore mouth or tongue?,1.00,APPROVED,EQUAL,Louise,1637565315345,45876949,A little,Meas Value,MAPS_TO,,<auto>,1637565245986,
AWELL_EORTCQLQLC13_Q07_Not_at_all,Not at all,1293,,7: Have you had trouble swallowing?,1.00,APPROVED,EQUAL,Louise,1637565310305,45883172,Not at all,Meas Value,MAPS_TO,,<auto>,1637565246004,
