row,sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:additionalInfo,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer,extra_eh,free_text_eh
,HIXVRAGENLIJSTEN_0015857788_0000010445,8013/3 - Grootcellig neuro-endocrien carcinoom,22,,Histologische diagnose,0.32,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4029971,Large cell neuroendocrine carcinoma,Observation,MAPS TO,44498657,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015857792_0000010445,"8020/3 - Carcinoom, ongedifferentieerd type, NNO",2,,Histologische diagnose,0.31,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4243327,"Carcinoma, undifferentiated",Observation,MAPS TO,44498660,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015857813_0000010445,"8041/3 - Kleincellig carcinoom, NNO",82,,Histologische diagnose,0.25,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4252582,Small cell carcinoma,Observation,MAPS TO,44498671,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015857816_0000010445,8041/3 - Kleincellig neuro-endocrien carcinoom,6,,Histologische diagnose,0.32,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4252582,Small cell carcinoma,Observation,MAPS TO,44498671,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015857817_0000010445,"8041/3 - Kleincellig carcinoom, pulmonaal type",24,,Histologische diagnose,0.25,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4252582,Small cell carcinoma,Observation,MAPS TO,4252582,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015857824_0000010445,8045/3 - Gemengd klein- en grootcellig carcinoom,18,,Histologische diagnose,0.28,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4065083,Combined small cell carcinoma,Observation,MAPS TO,44498675,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015857826_0000010445,8046/3 - Niet-kleincellig carcinoom (C34._),30,,Histologische diagnose,0.39,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4028533,Non-small cell carcinoma,Observation,MAPS TO,44498676,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015857858_0000010445,"8070/2 - Plaveiselcelcarcinoma in situ, NNO",2,,Histologische diagnose,0.41,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4241977,Squamous cell carcinoma in situ,Observation,MAPS TO,44498687,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015857862_0000010445,"8070/2 - Spinocellulair carcinoma in situ, NNO",8,,Histologische diagnose,0.45,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4241977,Squamous cell carcinoma in situ,Observation,MAPS TO,44498687,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015857863_0000010445,"8070/3 - Plaveiselcelcarcinoom, NNO",72,,Histologische diagnose,0.28,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4103543,Squamous cell carcinoma,Observation,MAPS TO,44498688,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015857866_0000010445,8070/3 - Plaveiselcarcinoom,6,,Histologische diagnose,0.28,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4103543,Squamous cell carcinoma,Observation,MAPS TO,44498688,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015857868_0000010445,8070/3 - Spinocellulair carcinoom,188,,Histologische diagnose,0.36,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4103543,Squamous cell carcinoma,Observation,MAPS TO,44498688,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015857874_0000010445,"8071/3 - Plaveiselcelcarcinoom, keratiniserend,NNO",2,,Histologische diagnose,0.25,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4078953,"Squamous cell carcinoma, keratinizing",Observation,MAPS TO,44498690,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015857878_0000010445,"8071/3 - Spinocellulair carcinoom, keratiniserend, NNO",4,,Histologische diagnose,0.29,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4078953,"Squamous cell carcinoma, keratinizing",Observation,MAPS TO,44498690,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015857924_0000010445,8081/2 - Ziekte van Bowen(C44._),4,,Histologische diagnose,0.38,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4224505,Bowen's disease,Observation,MAPS TO,44498700,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015857931_0000010445,8083/3 - Basaloïd plaveiselcelcarcinoom,2,,Histologische diagnose,0.23,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4029973,Basaloid squamous cell carcinoma,Observation,MAPS TO,44498702,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015857937_0000010445,"8086/3 - Plaveiselcelcarcinoom, HPV-negatief",4,,Histologische diagnose,0.28,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,37204532,Human papillomavirus negative squamous cell carcinoma,Observation,MAPS TO,42511124,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015858001_0000010445,"8120/3 - Urotheelcelcarcinoom, NNO",4,,Histologische diagnose,0.25,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4097829,Transitional cell carcinoma,Observation,MAPS TO,44498724,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015858036_0000010445,8130/3 - Papillair transitioneelcelcarcinoom(C67._)[obs],6,,Histologische diagnose,0.25,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4050004,Papillary transitional cell carcinoma,Observation,MAPS TO,44498733,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015858046_0000010445,"8140/3 - Adenocarcinoom, NNO(uitgezonderd van de anale klieren/ducti M-8215/3)",352,,Histologische diagnose,0.22,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4262123,Adenocarcinoma,Observation,MAPS TO,44498738,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015858047_0000010445,"8140/3 - Adenocarcinoom, ‘usual’ type",2,,Histologische diagnose,0.23,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4262123,Adenocarcinoma,Observation,MAPS TO,44498738,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015858051_0000010445,8140/3 - Acinair adenocarcinoom van de prostaat(C61.9),12,,Histologische diagnose,0.27,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4262123,Adenocarcinoma,Observation,MAPS TO,44498738,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015858222_0000010445,"8230/3 - Adenocarcinoma solidum, NNO",10,,Histologische diagnose,0.39,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4219923,Solid carcinoma,Observation,MAPS TO,44498802,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015858233_0000010445,8240/3 - Typisch carcinoïd,10,,Histologische diagnose,0.29,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4133828,Neuroendocrine tumor grade 1,Observation,MAPS TO,44498805,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015858266_0000010445,8250/3 - Lepidisch adenocarcinoom(C34._),10,,Histologische diagnose,0.38,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4012173,Bronchiolo-alveolar adenocarcinoma,Observation,MAPS TO,44498818,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015858269_0000010445,8250/3 - Alveolaircelcarcinoom(C34._)[obs],2,,Histologische diagnose,0.37,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4012173,Bronchiolo-alveolar adenocarcinoma,Observation,MAPS TO,44498818,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015858279_0000010445,"8253/3 - Adenocarcinoom van de long, mucineus(C34._)",20,,Histologische diagnose,0.36,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4028539,"Bronchiolo-alveolar carcinoma, mucinous",Observation,MAPS TO,44498822,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015858280_0000010445,"8253/3 - Bronchiolo-alveolair carcinoom, mucineus(C34._)[obs]",2,,Histologische diagnose,0.45,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4028539,"Bronchiolo-alveolar carcinoma, mucinous",Observation,MAPS TO,44498822,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015858294_0000010445,"8260/3 - Papillair adenocarcinoom, NNO",8,,Histologische diagnose,0.42,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4172953,Papillary adenocarcinoma,Observation,MAPS TO,44498826,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015858586_0000010445,"8441/3 - Sereus cystadenocarcinoom, NNO",2,,Histologische diagnose,0.42,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4236657,Serous cystadenocarcinoma,Observation,MAPS TO,44498312,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015858692_0000010445,8490/3 - Zegelringceladenocarcinoom,2,,Histologische diagnose,0.3,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4227888,Signet ring cell carcinoma,Observation,MAPS TO,44498345,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015858707_0000010445,"8500/3 - Infiltrerend ductaal carcinoom, NNO(C50._)",2,,Histologische diagnose,0.42,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4221403,Infiltrating duct carcinoma,Observation,MAPS TO,44498348,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015858712_0000010445,8500/3 - Infiltrerend ductaal adenocarcinoom (C50._),4,,Histologische diagnose,0.45,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4221403,Infiltrating duct carcinoma,Observation,MAPS TO,44498348,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015858832_0000010445,8550/3 - Acinuscelcarcinoom,2,,Histologische diagnose,0.23,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4164740,Acinar cell carcinoma,Observation,MAPS TO,44498551,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015858833_0000010445,"8550/3 - Acinair adenocarcinoom, NNO(uitgezonderd van de long M-8551/3 of de prostaat M-8140/3)",10,,Histologische diagnose,0.2,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4164740,Acinar cell carcinoma,Observation,MAPS TO,44498551,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015858838_0000010445,8551/3 - Acinair adenocarcinoom van de long(C34._),134,,Histologische diagnose,0.37,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4030122,Acinar cell cystadenocarcinoma,Observation,MAPS TO,44498552,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015859074_0000010445,8743/3 - Superficieel spreidend melanoom (C44._),4,,Histologische diagnose,0.53,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4207824,Superficial spreading melanoma,Observation,MAPS TO,44498417,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015859313_0000010445,"8890/3 - Leiomyosarcoom, NNO",4,,Histologische diagnose,0.47,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4201415,Leiomyosarcoma,Observation,MAPS TO,44498388,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015859387_0000010445,8936/3 - GIST,4,,Histologische diagnose,0.5,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4029531,Gastrointestinal stromal sarcoma,Observation,MAPS TO,44498488,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015859642_0000010445,9120/3 - Angiosarcoom,2,,Histologische diagnose,0.45,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,3661612,Angiosarcoma,Observation,MAPS TO,44499109,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015859942_0000010445,"9440/3 - Glioblastoom, IDH-wild type(C71._)",2,,Histologische diagnose,0.42,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4272187,Glioblastoma,Observation,MAPS TO,44499207,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015860039_0000010445,"9530/0 - Meningeoom, NNO",2,,Histologische diagnose,0.32,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4260192,Benign meningeal neoplasm,Observation,MAPS TO,4499250,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015860206_0000010445,"9680/3 - Diffuus grootcellig B-cellymfoom, NNO",2,,Histologische diagnose,0.31,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4262918,"Malignant lymphoma, large B-cell, diffuse",Observation,MAPS TO,44499300,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015857750_ZH00001638,"8000/3 - Neoplasma, maligne",4,,Histologische diagnose,0.43,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4312326,"Neoplasm, malignant (primary)",Observation,MAPS TO,"voorstel: 44498001 (class ICD-O histology) -> OK 4312226 is de standard map hiervan",AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015857752_ZH00001638,"8000/3 - Tumor, maligne, NNO",4,,Histologische diagnose,0.45,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4312326,"Neoplasm, malignant (primary)",Observation,MAPS TO,"voorstel: 44498001 (class ICD-O histology)",AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015857754_ZH00001638,8000/3 - Maligniteit,28,,Histologische diagnose,0.43,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4312326,"Neoplasm, malignant (primary)",Observation,MAPS TO,"voorstel: 44498001 (class ICD-O histology)",AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015857778_ZH00001638,"8010/3 - Carcinoom, NNO",2,,Histologische diagnose,0.22,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4266638,Malignant epithelial neoplasm - category,Observation,MAPS TO,44498651,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015857787_ZH00001638,"8012/3 - Grootcellig carcinoom, NNO",20,,Histologische diagnose,0.32,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4331315,Large cell carcinoma,Observation,MAPS TO,44498656,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015857788_ZH00001638,8013/3 - Grootcellig neuro-endocrien carcinoom,22,,Histologische diagnose,0.32,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4029971,Large cell neuroendocrine carcinoma,Observation,MAPS TO,44498657,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015857792_ZH00001638,"8020/3 - Carcinoom, ongedifferentieerd type, NNO",2,,Histologische diagnose,0.31,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4243327,"Carcinoma, undifferentiated",Observation,MAPS TO,44498660,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015857813_ZH00001638,"8041/3 - Kleincellig carcinoom, NNO",82,,Histologische diagnose,0.25,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4252582,Small cell carcinoma,Observation,MAPS TO,44498671,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015857816_ZH00001638,8041/3 - Kleincellig neuro-endocrien carcinoom,6,,Histologische diagnose,0.32,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4252582,Small cell carcinoma,Observation,MAPS TO,44498671,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015857817_ZH00001638,"8041/3 - Kleincellig carcinoom, pulmonaal type",24,,Histologische diagnose,0.25,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4252582,Small cell carcinoma,Observation,MAPS TO,4252582,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015857824_ZH00001638,8045/3 - Gemengd klein- en grootcellig carcinoom,18,,Histologische diagnose,0.28,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4065083,Combined small cell carcinoma,Observation,MAPS TO,44498675,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015857826_ZH00001638,8046/3 - Niet-kleincellig carcinoom (C34._),30,,Histologische diagnose,0.39,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4028533,Non-small cell carcinoma,Observation,MAPS TO,44498676,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015857858_ZH00001638,"8070/2 - Plaveiselcelcarcinoma in situ, NNO",2,,Histologische diagnose,0.41,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4241977,Squamous cell carcinoma in situ,Observation,MAPS TO,44498687,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015857862_ZH00001638,"8070/2 - Spinocellulair carcinoma in situ, NNO",8,,Histologische diagnose,0.45,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4241977,Squamous cell carcinoma in situ,Observation,MAPS TO,44498687,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015857863_ZH00001638,"8070/3 - Plaveiselcelcarcinoom, NNO",72,,Histologische diagnose,0.28,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4103543,Squamous cell carcinoma,Observation,MAPS TO,44498688,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015857866_ZH00001638,8070/3 - Plaveiselcarcinoom,6,,Histologische diagnose,0.28,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4103543,Squamous cell carcinoma,Observation,MAPS TO,44498688,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015857868_ZH00001638,8070/3 - Spinocellulair carcinoom,188,,Histologische diagnose,0.36,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4103543,Squamous cell carcinoma,Observation,MAPS TO,44498688,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015857874_ZH00001638,"8071/3 - Plaveiselcelcarcinoom, keratiniserend,NNO",2,,Histologische diagnose,0.25,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4078953,"Squamous cell carcinoma, keratinizing",Observation,MAPS TO,44498690,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015857878_ZH00001638,"8071/3 - Spinocellulair carcinoom, keratiniserend, NNO",4,,Histologische diagnose,0.29,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4078953,"Squamous cell carcinoma, keratinizing",Observation,MAPS TO,44498690,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015857924_ZH00001638,8081/2 - Ziekte van Bowen(C44._),4,,Histologische diagnose,0.38,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4224505,Bowen's disease,Observation,MAPS TO,44498700,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015857931_ZH00001638,8083/3 - Basaloïd plaveiselcelcarcinoom,2,,Histologische diagnose,0.23,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4029973,Basaloid squamous cell carcinoma,Observation,MAPS TO,44498702,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015857937_ZH00001638,"8086/3 - Plaveiselcelcarcinoom, HPV-negatief",4,,Histologische diagnose,0.28,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,37204532,Human papillomavirus negative squamous cell carcinoma,Observation,MAPS TO,42511124,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015858001_ZH00001638,"8120/3 - Urotheelcelcarcinoom, NNO",4,,Histologische diagnose,0.25,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4097829,Transitional cell carcinoma,Observation,MAPS TO,44498724,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
