,sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:additionalInfo,ADD_INFO:prescriptionID,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
10,MEDICATIE_CS00186968,TRAMADOL DISPERTABLET  50MG,5982,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,19134116,tramadol hydrochloride 50 MG Disintegrating Oral Tablet,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
11,MEDICATIE_CS00184785,NATRIUMCHLORIDE INFVLST   9MG/ML(0.9%) FL   500ML,5801,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,21040129,500 ML Sodium Chloride 9 MG/ML Injectable Solution,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
12,MEDICATIE_H_BE001326,DUOVENT HFA AEROSOL 50/20UG/DO 200DO INH,5614,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,36283929,200 ACTUAT Fenoterol 0.05 MG/ACTUAT / Ipratropium 0.02 MG/ACTUAT Inhalant Solution [Duovent],Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
13,MEDICATIE_P_BE000001,METHYLPREDNISOLON TABLET 32MG,5543,,,,1,APPROVED,EQUAL,Kim Denturck,1645030148036,1506314,methylprednisolone 32 MG Oral Tablet,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
14,MEDICATIE_H_B0000163,MOVICOL DRANK UNIDOSE,5530,,,,1,APPROVED,EQUAL,Kim Denturck,1645030148036,41050131,lauromacrogols / Potassium / Sodium Oral Solution [Movicol],Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
15,MEDICATIE_CS00185269,PIPERACILLINE/TAZOBACTAM INJECTIEPDR 4000/500MG FL,5170,,,,1,APPROVED,EQUAL,Kim Denturck,1645030148036,46275444,piperacillin 4000 MG / tazobactam 500 MG Injection,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
16,MEDICATIE_H_02703114,CLEXANE INJVLST  4.000IE  (40MG)/0.4ML WWSP,4933,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,41406930,0.4 ML Enoxaparin 10000 UNT/ML Prefilled Syringe [Clexane],Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
17,MEDICATIE_CS00114269,ACTRAPID PENFILL INJ 100IE/ML PATR   3ML,4631,,,,1,APPROVED,EQUAL,Kim Denturck,1645030148036,41350217,"3 ML Regular Insulin, Human 100 UNT/ML Injectable Solution [Actrapid]",Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
18,MEDICATIE_CS00184610,NATRIUMCHLORIDE INFVLST   9MG/ML(0.9%) FL   100ML,4513,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,21137851,100 ML Sodium Chloride 9 MG/ML Injectable Solution,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
19,MEDICATIE_H_BE000638,DAFALGAN FORTE TABLET 1000MG,4510,,,,1,APPROVED,EQUAL,Kim Denturck,1645030148036,36782283,Acetaminophen 1000 MG Oral Tablet [DAFALGAN],Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
20,MEDICATIE_CS00186173,PANTOPRAZOL TABLET MSR 20MG,4387,,,,1,APPROVED,EQUAL,Kim Denturck,1645030148036,41271459,pantoprazole 20 MG Oral Tablet,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
21,MEDICATIE_P_00146684,ENOXAPARINE INJ SP  4000IE(40MG)=0.4ML(10.000IE/ML,4259,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,43275828,0.4 ML Enoxaparin 100 MG/ML Injection,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
22,MEDICATIE_H_BE000984,PANTOMED (PIP) MAAGSAPRESIST. TABL. 40 MG,4230,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,36264170,pantoprazole 40 MG [Pantomed],Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
23,MEDICATIE_P_B0004796,AMOXICILLINE 1 G + CLAVULAANZUUR 200 MG POEDER VOOR OPLOSSING VOOR INJECTIE/INFUSIE (I.V.),4153,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,21160118,Amoxicillin 1000 MG / Clavulanate 200 MG Injection,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
24,MEDICATIE_CS00018426,BISOPROLOL TABLET   2.5MG,4135,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,40166188,bisoprolol fumarate 2.5 MG Oral Tablet,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
25,MEDICATIE_CS00184466,AMOXICILLINE/CLAVULAANZUUR INJPDR 1000/200MG FL,4088,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,21160118,Amoxicillin 1000 MG / Clavulanate 200 MG Injection,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
26,MEDICATIE_CS00184409,MORFINE INJVLST 10MG/ML AMP 1ML,3970,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,43734654,1 ML Morphine 10 MG/ML Injectable Solution,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
27,MEDICATIE_CS00184752,NATRIUMCHLORIDE INFVLST   9MG/ML(0.9%) FL   250ML,3614,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,21138113,250 ML Sodium Chloride 9 MG/ML Injectable Solution,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
28,MEDICATIE_CS00183375,METFORMINE TABLET   850MG,3575,,,,1,APPROVED,EQUAL,Kim Denturck,1645030148036,40164946,metformin hydrochloride 850 MG Oral Tablet,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
29,MEDICATIE_CS00184620,ACETYLCYSTEINE BRUISTABLET 600MG,3565,,,,1,APPROVED,EQUAL,Kim Denturck,1645030148036,42480812,Acetylcysteine 600 MG Effervescent Oral Tablet,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
30,MEDICATIE_H_BE007872,STEOVIT FORTE KAUWTB 2.5G/800IE (1000MG CA),3543,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,21021604,Calcium Carbonate 2500 MG / Cholecalciferol 800 UNT Chewable Tablet,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
31,MEDICATIE_P_BE000357,FOLIUMZUUR TABLET 4MG,3202,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,36259675,Folic Acid 4 MG Oral Tablet,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
32,MEDICATIE_CS00184360,ALIZAPRIDE INJVLST 25MG/ML AMP 2ML,3194,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,36278087,2 ML alizapride 25 MG/ML Injectable Solution [Litican],Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
33,MEDICATIE_CS00200076,PARACETAMOL BRUISTABLET 1000MG,3193,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,36883027,Acetaminophen 1000 MG Effervescent Oral Tablet,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
34,MEDICATIE_H_02703300,TRIMBOW AEROSOL 87/5/9MCG/DOSIS SPUITBUS 120DO,3082,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,36778538,120 ACTUAT Beclomethasone 0.084 MG/ACTUAT / formoterol 0.005 MG/ACTUAT / glycopyrronium 0.009 MG/ACTUAT Inhalant Solution [Trimbow],Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
35,MEDICATIE_CS00184647,BISOPROLOL TABLET   5MG,3081,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,40162878,bisoprolol fumarate 5 MG Oral Tablet,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
36,MEDICATIE_P_B9002339,MONDSPOELING MET HYDROCORTISONE EN LIDOCAINE  300 ML,2980,,,,1,APPROVED,EQUAL,Kim Denturck,1645030148036,21143085,Hydrocortisone / Lidocaine Mouthwash,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
37,MEDICATIE_CS00184738,NATRIUMCHLORIDE INFVLST   9MG/ML(0.9%) FL  1000ML,2968,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,42479436,1000 ML Sodium Chloride 9 MG/ML Injectable Solution,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
38,MEDICATIE_P_BE000304,VITAMINE B COMPLEX TABLET,2948,,,,1,APPROVED,EQUAL,Kim Denturck,1645030148036,40097047,vitamin B complex Oral Tablet,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
39,MEDICATIE_CS00188961,DEXMEDETOMIDINE INFOPL CONC 100UG/ML AMP 2ML,2944,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,35778523,2 ML Dexmedetomidine 0.1 MG/ML Injectable Solution,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
40,MEDICATIE_CS00184075,MINI-PLASCO NACL  9MG/ML(0.9%) AMP 10ML,2932,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,40221389,10 ML sodium chloride 9 MG/ML Injection,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
41,MEDICATIE_A_B9002362,DEEL INFVLST NACL 9MG/ML 1000ML VIAFLO 1/10,2901,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,42479436,1000 ML Sodium Chloride 9 MG/ML Injectable Solution,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
42,MEDICATIE_P_B0000107,AMLODIPINE CAPSULE 5MG,2888,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,19103475,amlodipine 5 MG Oral Capsule,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
43,MEDICATIE_CS00186054,PANTOPRAZOL INJECTIEPOEDER 40MG FL,2798,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,948080,pantoprazole 40 MG Injection,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
44,MEDICATIE_P_B9000966,DAGRAVIT B COMPLEX DRAG,2748,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,40097047,vitamin B complex Oral Tablet,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
45,MEDICATIE_CS00185331,ZOLPIDEM TABLET FO 10MG,2677,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,40163492,zolpidem tartrate 10 MG Oral Tablet,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
46,MEDICATIE_P_B0004927,PROPOFOL 1 G / 50 ML EMULSIE VOOR INJECTIE/INFUSIE (I.V.),2593,,,,1,APPROVED,EQUAL,Kim Denturck,1645030148036,1537389,propofol lipid emulsion 20 MG/ML,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
47,MEDICATIE_P_00136328,PEMBROLIZUMAB INFOPL CONC 25MG/ML FL 4ML,2495,,,,1,APPROVED,EQUAL,Kim Denturck,1645030148036,42921578,4 ML pembrolizumab 25 MG/ML Injectable Solution [Keytruda],Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
48,MEDICATIE_CS00184928,LIDOCAINE INJVL 20MG/ML (HCL-1W) AMP 10ML,2374,,,,1,APPROVED,EQUAL,Kim Denturck,1645030148036,35604358,10 ML lidocaine hydrochloride 20 MG/ML Injection,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
49,MEDICATIE_CS00185493,TAMSULOSINE CAPSULE MGA 0.4MG,2363,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,587557,tamsulosin 0.4 MG Extended Release Oral Capsule,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
50,MEDICATIE_P_BE000446,KALIUMGLUCONAAT DRANK 312MG/ML FL 200ML,2330,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,36281956,200 ML Potassium gluconate 312 MG/ML Oral Solution,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
51,MEDICATIE_CS00184578,LORMETAZEPAM TABLET 2MG,2281,,,,1,APPROVED,EQUAL,Kim Denturck,1645030148036,19008004,lormetazepam 2 MG Oral Tablet,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
52,MEDICATIE_CS00184071,NATRIUMCHLORIDE INJVLST   9MG/ML(0.9%) FL 50ML,2269,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,40221384,50 ML sodium chloride 9 MG/ML Injection,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
53,MEDICATIE_CS00018559,MEROPENEM PDR INJ/INFOPL 1000MG FL,2133,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,40928582,meropenem 1000 MG Injectable Solution,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
54,MEDICATIE_CS00185770,REMIFENTANIL INJECTIEPOEDER 5MG FL,2132,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,35605384,remifentanil 5 MG Injection,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
55,MEDICATIE_P_B9001218,JOBITRIDOL INJVLST 350MGI/ML FL 10 ML (1/50),2072,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,41053809,iobitridol 768 MG/ML Injectable Solution,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
56,MEDICATIE_H_B9002706,OMNIPAQUE INJVLST 350MGI/ML FL 10 ML (1/50),2044,,,,1,APPROVED,EQUAL,Kim Denturck,1645030148036,41219325,Iohexol 755 MG/ML Injectable Solution [Omnipaque],Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
57,MEDICATIE_CS00187454,ESCITALOPRAM TABLET 10MG,2035,,,,1,APPROVED,EQUAL,Kim Denturck,1645030148036,715940,escitalopram 10 MG Oral Tablet,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
58,MEDICATIE_P_BE000073,CEFEPIM INJ/INFPDR 2000MG,1974,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,46287349,cefepime 2000 MG Injection,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
59,MEDICATIE_CS00184365,CEFTRIAXON INFUSIEPOEDER 2000MG FL,1929,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,46287335,ceftriaxone 2000 MG Injection,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
60,MEDICATIE_CS00185009,ALPRAZOLAM TABLET 0.25MG,1903,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,19072933,alprazolam 0.25 MG Oral Tablet,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
61,MEDICATIE_P_00146692,ENOXAPARINE INJ SP  6000IE(60MG)=0.6ML(10.000IE/ML,1866,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,43270345,0.6 ML Enoxaparin 100 MG/ML Injection,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
62,MEDICATIE_H_BE005077,PARACODINE  TABLET 10MG,1861,,,,1,APPROVED,EQUAL,Kim Denturck,1645030148036,43815121,dihydrocodeine 10 MG Oral Tablet [Paracodin],Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
63,MEDICATIE_CS00186988,SIMVASTATINE TABLET FO 20MG,1831,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,1539411,simvastatin 20 MG Oral Tablet,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
64,MEDICATIE_CS00184181,PIRITRAMIDE INJVLST 10MG/ML AMP 2ML,1816,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,36282527,2 ML Pirinitramide 10 MG/ML Injectable Solution,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
65,MEDICATIE_H_BE001903,BURINEX TABLET 1MG,1809,,,,1,APPROVED,EQUAL,Kim Denturck,1645030148036,19000852,bumetanide 1 MG Oral Tablet [Burinex],Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
66,MEDICATIE_CS00166377,HUMALOG KWIKPEN INJVLST 100E/ML PEN 3ML,1790,,,,1,APPROVED,EQUAL,Kim Denturck,1645030148036,46233970,3 ML insulin lispro 100 UNT/ML Pen Injector [Humalog],Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
67,MEDICATIE_P_00139696,NETUPITANT/PALONOSETRON CAPSULE 300/0.5MG,1766,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,45774969,netupitant 300 MG / palonosetron 0.5 MG Oral Capsule,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
68,MEDICATIE_H_02703122,CLEXANE INJVLST  6.000IE  (60MG)/0.6ML WWSP,1756,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,41410967,0.6 ML Enoxaparin 10000 UNT/ML Prefilled Syringe [Clexane],Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
69,MEDICATIE_CS00184251,TRAZODON TABLET 100MG,1746,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,40163460,trazodone hydrochloride 100 MG Oral Tablet,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
70,MEDICATIE_H_B0001105,MAGNETOP 30 ZAK 450MG,1717,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,44094500,Magnesium Oral Powder,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
71,MEDICATIE_P_00118907,ETOPOSIDE INFOPL CONC 20MG/ML FL 25ML,1689,,,,1,APPROVED,EQUAL,Louise,1645030148036,21137305,25 ML Etoposide 20 MG/ML Injection [Eposin],Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
72,MEDICATIE_CS00183402,FUROSEMIDE TABLET 40MG,1686,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,957136,furosemide 40 MG Oral Tablet,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
73,MEDICATIE_CS00186507,LEVETIRACETAM TABLET FO  500MG,1653,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,711589,levetiracetam 500 MG Oral Tablet,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
74,MEDICATIE_H_BE005139,BX- PL GLUCION 5% VIAFLEX ZAK 1000ML,1637,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,40939078,Glucose 50 MG/ML Injectable Solution [Viaflex],Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
75,MEDICATIE_H_BE005022,FOLAVIT TABLET 4MG,1634,,,,1,APPROVED,EQUAL,Kim Denturck,1645030148036,36275768,Folic Acid 4 MG Oral Tablet [Folavit],Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
76,MEDICATIE_CS00187893,PROPOFOL INJ.EMULSIE 20MG/ML FL 50ML MCT/LCT,1626,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,1145814,propofol lipid emulsion 20 MG/ML Injection,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
77,MEDICATIE_CS00188557,CLOPIDOGREL TABLET 75MG (BESILAAT),1620,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,19075601,clopidogrel 75 MG Oral Tablet,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
78,MEDICATIE_CS00185010,ALPRAZOLAM TABLET 0.5MG,1595,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,19072934,alprazolam 0.5 MG Oral Tablet,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
79,MEDICATIE_H_BE001396,MEDROL TABLET 32MG,1572,,,,1,APPROVED,EQUAL,Kim Denturck,1645030148036,19034650,methylprednisolone 32 MG Oral Tablet [Medrol],Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
80,MEDICATIE_CS00186641,LEVOCETIRIZINE TABLET FO 5MG,1555,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,40163630,levocetirizine dihydrochloride 5 MG Oral Tablet,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
81,MEDICATIE_CS00184155,IBUPROFEN TABLET 600MG,1553,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,19019073,ibuprofen 600 MG Oral Tablet,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
82,MEDICATIE_CS00114883,ATROVENT UNIT DOSE VERNEVELOPL 125MCG/ML FL 2ML,1513,,,,1,APPROVED,EQUAL,Kim Denturck,1645030148036,43645042,2 ML Ipratropium 0.125 MG/ML Inhalant Solution [Atrovent],Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
83,MEDICATIE_CS00183146,AMIODARON TABLET 200MG,1503,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,1309992,amiodarone hydrochloride 200 MG Oral Tablet,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
84,MEDICATIE_CS00187499,PREGABALINE CAPSULE  75MG,1499,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,19112671,pregabalin 75 MG Oral Capsule,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
85,MEDICATIE_CS00186989,SIMVASTATINE TABLET FO 40MG,1486,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,1539407,simvastatin 40 MG Oral Tablet,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
86,MEDICATIE_CS00185805,ROCURONIUM INJVLST 10MG/ML FL 5ML,1458,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,43699629,5 ML Rocuronium 10 MG/ML Injectable Solution,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
87,MEDICATIE_CS00187030,ACETYLSALICYLZUUR TABLET  80MG,1425,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,1113541,aspirin 80 MG Oral Tablet,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
88,MEDICATIE_CS00183151,FUROSEMIDE INJECTIEVLST 10MG/ML AMP 2ML,1379,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,36895214,2 ML Furosemide 10 MG/ML Injectable Solution,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
89,MEDICATIE_CS00110380,LITICAN TABLET 50MG,1378,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,36258258,alizapride 50 MG Oral Tablet [Litican],Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
90,MEDICATIE_CS00183088,METHYLPREDNISOLON INJECTIEPOEDER   40MG FL,1355,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,44109972,Methylprednisolone 40 MG Injectable Solution,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
91,MEDICATIE_CS00018528,OXYCODON SMELTTABLET 10MG,1331,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,44179925,Oxycodone 10 MG Disintegrating Oral Tablet,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
92,MEDICATIE_CS00186994,ROSUVASTATINE TABLET FO 10MG (ALS CA-ZOUT),1309,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,40165245,rosuvastatin calcium 10 MG Oral Tablet,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
93,MEDICATIE_P_B0004708,METHYLPREDNISOLON 40 MG / 1 ML OPLOSSING VOOR INJECTIE/INFUSIE (I.M./I.V.),1299,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,36884768,Methylprednisolone 40 MG/ML Injectable Solution,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
94,MEDICATIE_H_BE002254,METFORMAX TABLET 850MG,1298,,,,1,APPROVED,EQUAL,Kim Denturck,1645030148036,40164946,metformin hydrochloride 850 MG Oral Tablet,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
95,MEDICATIE_CS00018526,OXYCODON SMELTTABLET  5MG,1298,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,43859604,Oxycodone 5 MG Disintegrating Oral Tablet,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
96,MEDICATIE_CS00187500,PREGABALINE CAPSULE 150MG,1290,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,19112670,pregabalin 150 MG Oral Capsule,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
