source_code,source_term,modality,wise,last_date,source_frequency
RAD_GB1_MG,Gewone biopsie 1x,Mammography,Gewone biopsie 1x - CT: 1,2011-11-23,95910
RAD_CS00000009_ECG,ECG,Electrocardiography,ECG - OT: 1,2023-03-16,87834
RAD_?_MG,Onderzoek tbv verslag,Mammography,Onderzoek tbv verslag - MG: 1,2018-03-23,86768
RAD_MRAF_MG,MR hoofd,Mammography,MR hoofd - MR: 60670; MR hoofd - CT: 14;  - MR: 9; MR hoofd - CR: 4,2017-09-29,83526
RAD_CTWM_MG,CT wervelzuil,Mammography,CT wervelzuil - CT: 59039; CT wervelzuil - CR: 42; CT wervelzuil - SR: 13; CT wervelzuil - MR: 9; CT wervelzuil - US: 4; CT wervelzuil - RF: 2,2017-09-29,83121
RAD_LWZ_MG,RX LWZ,Mammography,RX LWZ - CR: 57186; RX Lumbale WZ - CR: 9486; RX Lumbale WZ - DX: 7655; RX LWZ - RF: 186; RX LWZ - CT: 19; RX LWZ - MR: 10; RX LWZ - US: 5; RX LWZ - XA: 2; RX Lumbale WZ - CT: 1; RX LWZ - DX: 1,2017-09-29,79779
RAD_ZH00000079_CR,CR Thorax Aan Bed,Computed Radiography,CR Thorax Aan Bed - CR: 74203;  - CR: 3; CR Thorax Aan Bed - DX: 2; CR Thorax Aan Bed - RF: 1; CR Thorax Aan Bed - MG: 1; CR Thorax Aan Bed - CT: 1,2023-03-17,74434
RAD_MRLM_MG,MR lidmaat,Mammography,MR lidmaat - MR: 57397; MR lidmaat - CR: 17; MR lidmaat - CT: 9; MR lidmaat - RF: 4; MR lidmaat - US: 2,2017-09-29,70148
RAD_ZH00000081_CR,CR Thorax F/P,Computed Radiography,CR Thorax F/P - CR: 66926;  - CR: 9; CR Thorax F/P - DX: 1,2023-03-17,66976
RAD_T_TH2_MG,RX Thorax FP,Mammography,not in wise,2018-04-19,66414
RAD_ZH00000080_CR,CR Thorax Face,Computed Radiography,CR Thorax Face - CR: 63202;  - CR: 6,2023-03-17,64033
RAD_BEK_MG,RX bekken,Mammography,RX Bekken - CR: 24506; RX bekken - CR: 21918; RX Bekken - RF: 39; RX Bekken - US: 6; RX Bekken - DX: 5; RX bekken - US: 3; RX bekken - RF: 3; RX Bekken - CT: 3; RX bekken - CT: 2; RX bekken - DX: 1; RX Bekken - MR: 1,2017-09-29,54840
RAD_THORAX_MG,Thorax,Mammography,Thorax - CR: 54549; Thorax - MG: 29; Thorax - RF: 1; Thorax - PR: 1,2011-03-25,54685
RAD_MAM1_MG,RX mammo unilateraal,Mammography,RX mammo unilateraal - MG: 726; Mammografie Unilateraal - MG: 595; Mammografie Unilateraal - US: 7; RX mammo unilateraal - US: 4,2017-09-29,54218
RAD_ECBO_MG,Echo borsten,Mammography,Echo borsten - US: 32723; echo borsten - US: 9216; Echo borsten - MG: 32; echo borsten - CR: 4; echo borsten - MG: 3; Echo borsten - CR: 2; Echo borsten - CT: 1,2017-09-29,50687
RAD_0000008724_US,Echo Urologie 2,Ultra Sound,Echo Urologie 2 - US: 71309; Urologie echo 20 - US: 212,2023-03-16,47660
RAD_CS00000033_ECG,Fietsergometrie - maximaal,Electrocardiography,not in wise,2023-03-16,46798
RAD_ABD_MG,RX abdomen,Mammography,RX abdomen - CR: 28032; RX Abdomen - DX: 16129; RX Abdomen - CR: 12907; RX abdomen - RF: 195; RX Abdomen - RF: 25; RX abdomen - XA: 21; RX abdomen - DX: 19; RX abdomen - US: 12; RX Abdomen - CT: 8; RX abdomen - CT: 3; RX Abdomen - KO: 2; RX Abdomen - US: 2; RX Abdomen - OT: 1,2017-09-29,45314
RAD_ZH00005182_US,Echocardiografie adhoc,Ultra Sound,Echocardiografie adhoc - US: 73082; Echocardiografie adhoc - US: 2041; Echocardiografie adhoc - MG: 3,2023-03-16,44670
RAD_KNIE_MG,Knie,Mammography,Knie - CR: 21310; RX KNIE - CR: 2423; RX knie - CR: 972; knie - CR: 158; RX KNIE - MR: 1; RX KNIE - CT: 1,2011-03-25,44173
RAD_ETAD_MG,Echo tot abdomen evt doppler,Mammography,Echo tot abdomen evt doppler - US: 40964; Echo tot abdomen evt doppler - CR: 46; Echo tot abdomen evt doppler - CT: 5; Echo tot abdomen evt doppler - RF: 2; Echo tot abdomen evt doppler - XA: 1;  - US: 1,2017-09-29,42589
RAD_BOT_MG,Botscan,Mammography,Botscan - NM: 15137; Botscan - CT: 3; Botscan - OT: 1,2017-09-29,42062
RAD_ZH00000253_US,Echo Abdomen,Ultra Sound,Echo Abdomen - US: 40053;  - US: 1,2023-03-16,40279
RAD_CWZ_MG,RX cervicale wervelzuil,Mammography,RX CWZ - CR: 26712; RX Cervicale WZ - CR: 5539; RX Cervicale WZ - DX: 4075; RX cervicale wervelzuil - CR: 1777; RX CWZ - RF: 61; RX CWZ - CT: 18; RX CWZ - MR: 7; RX CWZ - US: 4; RX CWZ - DX: 2; RX Cervicale WZ - SR: 1,2017-09-29,39797
RAD_ZH00000391_MR,MR LWZ Standaard/PLIF,Magnetic Resonance,MR LWZ Standaard/PLIF - MR: 38641,2023-03-17,38908
RAD_T_TH1_MG,RX Thorax,Mammography,not in wise,2018-04-19,38604
RAD_T_EAB_MG,Echo Abd Totaal,Mammography,not in wise,2018-04-19,37549
RAD_1401_MG,THORAX,Mammography,THORAX - CR: 36868; THORAX - RF: 31; THORAX - MG: 3,2015-10-14,37237
RAD_CS00000331_XA,C-Boog,X-Ray Angiography,C-Boog - XA: 42337; C-Boog - XA: 12141; C-Boog - OT: 700; MRI prostaat (AZ Groeninge) - XA: 1; C-Boog - RF: 1,2023-03-15,33941
RAD_T_ABD_MG,RX Abdomen Int,Mammography,not in wise,2018-04-19,33258
RAD_ZH00000127_CT,CT Hersenen Standaard,Computed Tomography,CT Hersenen Standaard - CT: 33109;  - CT: 4,2023-03-16,33224
RAD_HEUR_MG,RX heup re,Mammography,RX Heup re - CR: 17975; RX heup re - CR: 16184; RX Heup Rechts - DX: 4586; RX Heup Rechts - CR: 3595; RX Heup re - RF: 32; RX Heup re - US: 10; RX heup re - RF: 6; RX Heup re - DX: 4; RX Heup re - CT: 1; RX Heup Rechts - CT: 1; RX heup re - DX: 1; RX heup re - SR: 1; RX heup re - US: 1,2017-09-29,33010
RAD_KNR_MG,RX knie re,Mammography,RX knie re - CR: 16700; RX Knie re - CR: 16595; RX Knie re - RF: 13; RX Knie re - US: 4; RX knie re - RF: 4;  - CR: 3; RX Knie re - MR: 2; RX knie re - SR: 2; RX knie re - CT: 1; RX knie re - MR: 1; RX knie re - US: 1; RX Knie re - CT: 1; RX Knie re - DX: 1,2017-09-29,32906
RAD_KNL_MG,RX knie li,Mammography,RX knie li - CR: 16708; RX Knie li - CR: 16116; RX Knie li - RF: 20; RX Knie li - US: 5; RX Knie li - MR: 5; RX Knie li - DX: 4; RX knie li - RF: 3;  - CR: 3; RX knie li - DX: 2; RX knie li - SR: 1,2017-09-29,32740
RAD_MSCR_MG,RX Mammoscreening,Mammography,RX Mammoscreening - MG: 12061; Mammografie screening - MG: 9578; RX Mammoscreening - US: 5; Mammografie screening - US: 1; RX Mammoscreening - CR: 1,2017-09-28,32468
RAD_HEUL_MG,RX heup li,Mammography,RX Heup li - CR: 16637; RX heup li - CR: 15401; RX Heup Links - DX: 4372; RX Heup Links - CR: 3428; RX Heup li - RF: 31; RX Heup li - DX: 6; RX heup li - RF: 6; RX heup li - DX: 3; RX Heup li - US: 3; RX heup li - SR: 2; RX Heup li - CT: 2; RX Heup li - SR: 1; RX Heup Links - RF: 1,2017-09-29,31517
RAD_MRAB_MG,MR hals/thorax/abdomen/bekk,Mammography,MR hals/thorax/abdomen/bekk - MR: 21397; MR hals thorax abdomen bekk - MR: 1437; MR hals/thorax/abdomen/bekk - CR: 5; MR hals/thorax/abdomen/bekk - CT: 3;  - MR: 2,2017-09-29,29114
RAD_ZH00000157_CT,CT Abdomen Standaard met contrast,Computed Tomography,CT Abdomen Standaard met contrast - CT: 24215; CT Abdomen Standaard (+contrast) - CT: 2487; CT Abdomen Standaard - CT: 1079;  - CT: 3,2023-03-16,28627
RAD_11_MG,cervico-vaginale cyto,Mammography,not in wise,2001-02-19,28547
RAD_ZH00000121_MG,MA Mammoscreening Bilateraal,Mammography,MA Mammoscreening Bilateraal - MG: 28195; MA Mammoscreening - MG: 544,2023-03-16,28485
RAD_SCHE_MG,RX SCHEDEL,Mammography,RX SCHEDEL - CR: 10584; RX SCHEDEL - RF: 45; RX SCHEDEL - CT: 4; RX SCHEDEL - US: 3; RX SCHEDEL - DX: 1; RX SCHEDEL - MR: 1,2017-09-29,27721
RAD_CTTH_MG,CT Thorax,Mammography,CT Thorax - CT: 28751; CT Thorax - CR: 3; CT Thorax - US: 2; CT Thorax - MR: 1; CT Thorax - OT: 1; CT Thorax - SR: 1,2017-09-29,26967
RAD_CS00000332_OT,Scopie (Videotoren),Other,Scopie - OT: 23463; Scopie (Videotoren) - OT: 9635; Scopie (Videotoren) - OT: 3929; Videotoren - OT: 3474; Scopie (Videotoren) - SC: 82; Scopie (Videotoren) - US: 55; Scopie (Videotoren) - US: 52; Videotoren - RF: 14; Scopie (Videotoren) - CT: 12; Scopie - US: 7; Scopie (Videotoren) - SC: 7; Scopie (Videotoren) - CT: 5; Scopie - CT: 3; Scopie (Videotoren) - XC: 1; Scopie - PT: 1,2023-02-01,26862
RAD_ZH00000267_US,Echo Borsten (met inbegrip van de axilla),Ultra Sound,Echo Borsten (met inbegrip van de axilla) - US: 23532; Echo Borsten - US: 3584; Echo Borsten - MG: 1; Echo Borsten - OT: 1; Punctie Borst + Harpoenplaatsing - US: 1,2023-03-16,26590
RAD_VOR_MG,RX voet re,Mammography,RX Voet re - CR: 16052; RX voet re - CR: 11331; RX Voet re - RF: 6; RX Voet re - DX: 2; RX Voet re - MR: 1; RX voet re - US: 1,2017-09-29,26366
RAD_VOET_MG,Voet(en),Mammography,Voet(en) - CR: 9916; RX VOET - CR: 1928; RX voet - CR: 732; voet - CR: 72,2011-03-24,26062
RAD_VOL_MG,RX voet li,Mammography,RX Voet li - CR: 15877; RX voet li - CR: 10627; RX Voet li - DX: 6; RX Voet li - US: 5; RX Voet li - RF: 4; RX Voet li - MR: 1; RX voet li - DX: 1,2017-09-29,25832
RAD_0000008546_US,Echo Urologie 1,Ultra Sound,Urologie echo - US: 21911; Urologie echo 15 - US: 11824; Echo Urologie 1 - US: 3730; Urologie echo - US: 1524; Echo Urologie - US: 4; Echo Urologie (gemeld) - US: 1,2023-03-14,25079
RAD_CSKD_MG,Echo K.Dujardin,Mammography,Echo K.Dujardin - US: 25443; Echo K.Dujardin - SR: 59,2017-09-28,24259
RAD_SCHR_MG,RX schouder re,Mammography,RX Schouder re - CR: 14300; RX schouder re - CR: 10822; RX Schouder Rechts - DX: 5331; RX Schouder Rechts - CR: 3893; RX Schouder Rechts - RF: 28; RX schouder re - RF: 27; RX Schouder re - RF: 27; RX Schouder re - US: 11; RX schouder re - DX: 9; RX Schouder re - DX: 6; RX schouder re - US: 5; RX Schouder re - MR: 1; RX schouder re - CT: 1; RX Schouder re - CT: 1,2017-09-29,23859
RAD_CS00000015_US,Echocardiografie,Ultra Sound,Echocardiografie - US: 4732; Echocardiografie - US: 242; Echocardiografie - SR: 2,2023-03-16,23617
RAD_T_THS_MG,RX THmECG/BA/ASP,Mammography,not in wise,2018-04-19,23453
RAD_POL_MG,RX pols li,Mammography,RX Pols li - CR: 14165; RX pols li - CR: 9498; RX Pols li - RF: 4; RX Pols li - DX: 3; RX Pols li - US: 3; RX pols li - RF: 2; RX Pols li - CT: 2,2017-09-29,23219
RAD_1712_MG,ECHO LIDMAAT,Mammography,ECHO LIDMAAT - US: 22800,2015-10-14,23044
RAD_ZH00000041_CR,CR Heup Rechts,Computed Radiography,CR Heup Rechts - CR: 22704; CR Heup Rechts - OT: 17;  - CR: 4,2023-03-16,23020
RAD_ZH00005267_XA,C-boog,X-Ray Angiography,not in wise,2023-03-16,22956
RAD_ZH00005442_US,Echo Abdomen (adhoc) E,Ultra Sound,Echo Abdomen (adhoc) E - US: 26880; Echo Abdomen (adhoc) E - US: 10772,2023-03-16,22242
RAD_ZH00000040_CR,CR Heup Links,Computed Radiography,CR Heup Links - CR: 21565; CR Heup Links - OT: 11;  - CR: 1,2023-03-16,21903
RAD_ECHO LID_MG,ECHO LIDMAAT,Mammography,not in wise,2011-03-24,21615
RAD_SCHL_MG,RX schouder li,Mammography,RX Schouder li - CR: 12561; RX schouder li - CR: 9650; RX Schouder Links - DX: 4782; RX Schouder Links - CR: 3389; RX Schouder Links - RF: 25; RX Schouder li - RF: 19; RX schouder li - RF: 16; RX Schouder li - DX: 8; RX Schouder li - US: 7; RX schouder li - DX: 6; RX schouder li - US: 3; RX Schouder li - CT: 2; RX schouder li - CT: 2; RX Schouder Links - CT: 1; RX Schouder Links - US: 1; RX Schouder li - SR: 1;  - CR: 1,2017-09-29,21234
RAD_T_CABD_MG,CT Abdomen,Mammography,not in wise,2018-04-19,21142
RAD_MAM_MG,RX mammo,Mammography,RX mammo - MG: 20671; RX mammo - US: 254; RX mammo - CR: 7; RX mammo - CT: 4; RX mammo - OT: 1,2017-09-28,20906
RAD_1211_MG,KNIE,Mammography,KNIE - CR: 20713; KNIE - PR: 1; KNIE - RF: 1,2015-10-14,20883
RAD_T_ELID_MG,Echo Lidmaat,Mammography,not in wise,2018-04-16,20872
RAD_DWZ_MG,RX DWZ,Mammography,RX DWZ - CR: 15926; RX Dorsale WZ - DX: 2587; RX Dorsale WZ - CR: 2351; RX DWZ - RF: 21; RX DWZ - CT: 1; RX DWZ - SR: 1; RX DWZ - US: 1; RX DWZ - MR: 1,2017-09-29,20745
RAD_POR_MG,RX pols re,Mammography,RX Pols re - CR: 12372; RX pols re - CR: 8608; RX Pols re - US: 5; RX pols re - RF: 3; RX pols re - US: 1; RX Pols re - RF: 1;  - CR: 1; RX Pols re - DX: 1,2017-09-29,20424
RAD_DUHM_MG,duplex hals,Mammography,duplex hals - US: 7824; Duplex hals - US: 5495; duplex hals - CT: 5; duplex hals - MR: 3; Duplex hals - CT: 3; duplex hals - CR: 2; duplex hals - RF: 1,2017-09-29,20113
RAD_COR_MG,CORONARO (DIAGNOSTISCH),Mammography,CORONARO (DIAGNOSTISCH) - XA: 21437; CORONARO (DIAGNOSTISCH) - SR: 5; CORONARO (DIAGNOSTISCH) - OT: 1; CORONARO (DIAGNOSTISCH) - US: 1,2017-09-28,20052
RAD_ENR_MG,RX enkel re,Mammography,RX Enkel re - CR: 11897; RX enkel re - CR: 8828; RX Enkel re - RF: 10; RX Enkel re - US: 10; RX Enkel re - DX: 6; RX enkel re - US: 3; RX enkel re - DX: 2; RX Enkel re - XA: 1; RX enkel re - RF: 1,2017-09-29,19913
RAD_ENL_MG,RX enkel li,Mammography,RX Enkel li - CR: 11805; RX enkel li - CR: 8354; RX Enkel li - RF: 10; RX Enkel li - US: 5; RX Enkel li - DX: 3; RX enkel li - US: 1; RX Enkel li - SR: 1;  - CR: 1; RX enkel li - RF: 1,2017-09-29,19537
RAD_CTLM_MG,CT lidmaat,Mammography,CT lidmaat - CT: 14699; CT lidmaat - CR: 15; CT lidmaat - SR: 5; CT lidmaat - MR: 4; CT lidmaat - SEG: 4; CT lidmaat - RF: 3; CT lidmaat - US: 2;  - CT: 1,2017-09-29,19517
RAD_T_CSCH-_MG,CT Schedel - Contrast,Mammography,not in wise,2018-04-19,19514
RAD_ZH00005084_NM,Whole body met SPECT/CT (low dose CT) scan,Nuclear Medicine,Whole body met SPECT/CT (low dose CT) scan - NM: 19418,2023-03-16,19473
RAD_T_LWZ_MG,RX Lumbale Wervelzuil,Mammography,not in wise,2018-04-19,19149
RAD_HAR_MG,RX hand re,Mammography,RX Hand re - CR: 11025; RX hand re - CR: 7260; RX Hand re - US: 3; RX hand re - US: 2; RX Hand re - DX: 2; SPECT - CR: 1,2017-09-29,18913
RAD_ZH00000147_CT,CT LWZ Standaard,Computed Tomography,CT LWZ Standaard - CT: 18672,2023-03-16,18795
RAD_CSMD_MG,Echo M.De Ceuninck,Mammography,Echo M.De Ceuninck - US: 19406; Echo M.De Ceuninck - SR: 20; Echo M.De Ceuninck - IVUS: 1; Echo M.De Ceuninck - XA: 1,2017-09-29,18508
RAD_HAL_MG,RX hand li,Mammography,RX Hand li - CR: 10795; RX hand li - CR: 5722; RX Hand li - DX: 3; RX Hand li - RF: 2; RX hand li - DX: 1; RX Hand li - US: 1,2017-09-29,18371
RAD_CA1_MG,Cytologie andere 1x,Mammography,Cytologie andere 1x - CR: 1,2011-11-22,18294
RAD_ZH00000029_CR,CR Voet Rechts,Computed Radiography,CR Voet Rechts - CR: 17898; CR Voet Rechts - OT: 2;  - CR: 2,2023-03-16,18153
RAD_ZH00000017_CR,CR Schouder Rechts,Computed Radiography,CR Schouder Rechts - CR: 17908; CR Schouder Rechts - OT: 1;  - CR: 1; CR Schouder Rechts - DX: 1,2023-03-16,18143
RAD_6006_MG,NMR WERVELZUIL,Mammography,NMR WERVELZUIL - MR: 17866,2015-10-14,17897
RAD_T_CLWZ_MG,CT Lumbale Wervelzuil,Mammography,not in wise,2018-04-19,17613
RAD_HEUP_MG,Heup,Mammography,Heup - CR: 14754,2011-03-24,17505
RAD_ZH00000384_MR,MR CWZ Standaard,Magnetic Resonance,MR CWZ Standaard - MR: 17148,2023-03-17,17326
RAD_6007_MG,NMR LIDMAAT,Mammography,NMR LIDMAAT - MR: 17229; NMR LIDMAAT - PR: 1,2015-10-14,17255
RAD_T_CVHW_MG,Consultatie Dr Van Haute,Mammography,not in wise,2018-04-19,16987
RAD_ZH00000028_CR,CR Voet Links,Computed Radiography,CR Voet Links - CR: 16800;  - CR: 5; CR Voet Links - OT: 1,2023-03-16,16986
RAD_ZH00000466_MR,MR Knie Rechts 15ch AA,Magnetic Resonance,MR Knie 15ch AA Rechts - MR: 14226; MR Knie Rechts 15ch AA - MR: 2084;  - MR: 1; MR Knie 15ch AA links - MR: 1,2023-03-17,16538
RAD_T_BEKR_MG,RX Bekken Re,Mammography,not in wise,2018-04-19,16516
RAD_ZH00000016_CR,CR Schouder Links,Computed Radiography,CR Schouder Links - CR: 16050;  - CR: 4; CR Schouder Links - OT: 2,2023-03-16,16284
RAD_ZH00000117_MG,MA Mammo Bilateraal,Mammography,MA Mammo Bilateraal - MG: 16384; MA Mammo Bilateraal - US: 18,2023-03-16,16079
RAD_1231_MG,HEUP,Mammography,HEUP - CR: 15668; HEUP - RF: 7,2015-10-14,16022
RAD_ZH00000031_CR,CR Enkel Rechts,Computed Radiography,CR Enkel Rechts - CR: 15617;  - CR: 4; CR Enkel Rechts - OT: 1,2023-03-16,15848
RAD_PO_MG,RX pols,Mammography,RX POLS - CR: 1703; RX pols - CR: 735; pols - CR: 59; RX POLS - CT: 1; RX pols - CT: 1,2006-04-29,15570
RAD_ZH00000465_MR,MR Knie Links 15ch AA,Magnetic Resonance,MR Knie 15ch AA Links - MR: 13167; MR Knie Links 15ch AA - MR: 2003,2023-03-17,15472
RAD_ZH00000008_CR,CR Pols Links,Computed Radiography,CR Pols Links - CR: 15206;  - CR: 4; CR Pols Links - OT: 1,2023-03-16,15471
RAD_ENK_MG,RX Enkel,Mammography,RX ENKEL - CR: 1542; RX Enkel - CR: 688; enkel - CR: 26; RX Enkel - US: 2; RX ENKEL - US: 1,2006-04-30,15471
RAD_ZH00000036_CR,"CR Knie Standaard Staande (""4 opnames"") Rechts",Computed Radiography,"CR Knie Rechts - CR: 8720; CR Knie Standaard Staande (""4 opnames"") Rechts - CR: 6514; CR Knie Standaard Staande (""4 opnames"") Rechts - OT: 55; CR Knie Standaard (""4 opnames"") Rechts - CR: 15; CR Knie Rechts - OT: 6;  - CR: 1",2023-03-16,15334
RAD_ZH00000034_CR,"CR Knie Standaard Staande (""4 opnames"") Links",Computed Radiography,"CR Knie Links - CR: 8778; CR Knie Standaard Staande (""4 opnames"") Links - CR: 6376; CR Knie Standaard Staande (""4 opnames"") Links - OT: 51; CR Knie Standaard (""4 opnames"") Links - CR: 21;  - CR: 3; CR Knie Links - OT: 3; CR Knie Standaard Staande (""4 opnames"") Links - DX: 2",2023-03-16,15252
RAD_ZH00000174_CT,CT Thorax-Abdomen Standaard,Computed Tomography,CT Thorax-Abdomen Standaard - CT: 10106; CT Thorax-Abdomen Staging - CT: 5646; CT Thorax-Abdomen Blanco - CT: 7;  - CT: 6,2023-03-16,15028
RAD_ZH00000043_CR,CR Bekken Staand,Computed Radiography,CR Bekken Staand - CR: 13943; CR Bekken Staand - OT: 21;  - CR: 4,2023-03-16,14979
RAD_ZH00000049_CR,CR LWZ,Computed Radiography,CR LWZ - CR: 14437; CR LWZ - OT: 4;  - CR: 2,2023-03-15,14927
RAD_ZH00000030_CR,CR Enkel Links,Computed Radiography,CR Enkel Links - CR: 14721;  - CR: 5; CR Enkel Links - OT: 1,2023-03-16,14907
RAD_ZH00000009_CR,CR Pols Rechts,Computed Radiography,CR Pols Rechts - CR: 14230;  - CR: 9,2023-03-16,14455
RAD_T_VOBMAM_MG,Mammo Prev VOB,Mammography,not in wise,2018-04-19,14061
RAD_CT WERVE_MG,CT WERVEL 2 (12),Mammography,not in wise,2011-03-24,13939
RAD_ZH00000006_CR,CR Hand Rechts,Computed Radiography,CR Hand Rechts - CR: 13673;  - CR: 4,2023-03-16,13868
RAD_1665_MG,CT WERVEL 2 (12),Mammography,CT WERVEL 2 (12) - CT: 13338; CT WERVEL 2 (12) - CR: 1,2015-10-14,13805
RAD_WBSP_MG,Total Body + spect,Mammography,Total Body + spect - NM: 12531; Total Body + spect - CT: 11; Total Body + spect - OT: 2; Total Body + spect - US: 1; Total Body + spect - PT: 1; Total Body + spect - CR: 1,2017-09-29,13757
RAD_1669_MG,CT ABDOMEN,Mammography,CT ABDOMEN - CT: 10979; CT ABDOMEN - SC: 15; CT ABDOMEN - PR: 3; CT ABDOMEN - MG: 2; CT ABDOMEN - US: 1,2015-10-14,13700
RAD_1_MG,Echo LEVER / GB /GW,Mammography,Echo LEVER / GB /GW - US: 328,2009-09-16,13230
RAD_CSSVDW_MG,Echo S.Van de Walle,Mammography,Echo S.Van de Walle - US: 14046; Echo S.Van de Walle - SR: 45,2017-09-28,13085
RAD_CT HALS/_MG,CT HALS/THORAX/ABDOMEN ZONDER/MET (30),Mammography,not in wise,2010-10-01,13078
RAD_CSFS_MG,Echo F.Stammen,Mammography,Echo F.Stammen - US: 13642; Echo F.Stammen - SR: 2; Echo F.Stammen - IVUS: 1; Echo F.Stammen - XA: 1,2017-09-27,13069
RAD_BEKKEN_MG,Bekken,Mammography,Bekken - CR: 12968; Bekken - PR: 1,2011-03-24,12983
RAD_1233_MG,BEKKEN,Mammography,BEKKEN - CR: 12700,2015-10-14,12953
RAD_ZH00000287_US,Echo Schouder Rechts,Ultra Sound,Echo Schouder Rechts - US: 12736,2023-03-16,12899
RAD_ZH00005179_US,Echocardiografie,Ultra Sound,Echocardiografie - US: 9038; Echocardiografie - US: 308; Echo klinisch - US: 4,2023-03-16,12676
RAD_KM1_MG,Kleine makroscopie 1x,Mammography,not in wise,2011-11-22,12548
RAD_ZH00000152_CT,CT Thorax Standaard,Computed Tomography,CT Thorax Standaard - CT: 12168;  - CT: 1,2023-03-16,12363
RAD_ZH00000005_CR,CR Hand Links,Computed Radiography,CR Hand Links - CR: 12103,2023-03-16,12335
RAD_ARTR_MG,RX arthrografie,Mammography,RX ARTHROGRAFIE - CR: 3959; RX ARTHROGRAFIE - RF: 3309; RX arthrografie - RF: 2524; RX arthrografie - CR: 1529; RX ARTHROGRAFIE - XA: 27; RX ARTHROGRAFIE - MR: 8; RX arthrografie - CT: 2; RX ARTHROGRAFIE - US: 1,2017-09-29,12295
RAD_T_VOER_MG,RX Voet Re,Mammography,not in wise,2018-04-19,12177
RAD_HA_MG,RX hand,Mammography,RX HAND - CR: 1367; RX hand - CR: 489; hand - CR: 70,2006-04-27,12041
RAD_0000008749_CT,COVID19CT,Computed Tomography,COVID19CT - CT: 11879,2023-03-15,12041
RAD_ZH00005237_US,echo totaal abdomen,Ultra Sound,echo totaal abdomen - US: 12113; echo totaal abdomen - US: 2097; echo totaal abdomen - OT: 43,2023-03-16,11845
