sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO_SOURCE_CONCEPT_ID,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
MZG_9_D_04112,METHICILLINERESISTENTE STAFYLOCCOCUS AUREUS BIJ ELDERS GEKLASSIFICEERDE AANDOENINGEN EN VAN NIET GESPECIFICEERDE SITE,0,,44823971,1,APPROVED,EQUAL,etl,1639653832291,440940,Methicillin resistant Staphylococcus aureus in conditions classified elsewhere and of unspecified site,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_04119,OVERIGE STAFYLOKOKKEN,0,,44835610,1,APPROVED,EQUAL,etl,1639653832291,435459,"Staphylococcus infection in conditions classified elsewhere and of unspecified site, other staphylococcus",Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_0412,PNEUMOKOKKEN INFECTIE BIJ ELDERS GECLASSIFICEERDE AANDOENINGEN EN MET NIET GESPECIFICEERDE LOKALISATIE,0,,44836770,1,APPROVED,EQUAL,etl,1639653832291,440328,Pneumococcus infection in conditions classified elsewhere and of unspecified site,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_0413,KLEBSIELLA PNEUMONIAE,0,,44836771,1,APPROVED,EQUAL,etl,1639653832291,436339,Friedländer's bacillus infection in conditions classified elsewhere and of unspecified site,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_0414,INFECTIE DOOR ESCHERICHIA COLI -E. COLI- BIJ ELDERS GECLASSIFICEERDE -AANDOENINGEN EN MET NIET GESPECIFICEERDE LOKALISATIE,0,,44823972,1,APPROVED,EQUAL,etl,1639653832291,440320,Escherichia coli [E. coli] infection in conditions classified elsewhere and of unspecified site,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_0415,INFECTIE DOOR HAEMOPHILUS INFLUENZAE -H. INFLUENZAE- BIJ ELDERS GECLASSIFICEERDE AANDOENINGEN EN MET NIET GESPEC. LOK.,0,,44836773,1,APPROVED,EQUAL,etl,1639653832291,434277,Hemophilus influenzae [H. influenzae] infection in conditions classified elsewhere and of unspecified site,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_0417,PSEUDOMONAS,0,,44827490,1,APPROVED,EQUAL,etl,1639653832291,438064,Pseudomonas infection in conditions classified elsewhere and of unspecified site,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_04185,OVERIGE GRAM-NEGATIEVE ORGANISMEN,0,,44826333,1,APPROVED,EQUAL,etl,1639653832291,435742,"Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other gram-negative organisms",Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_04186,HELICOBACTER PYLORI [H. PYLORI],0,,44833227,1,APPROVED,EQUAL,etl,1639653832291,440321,Helicobacter pylori [H. pylori],Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_0549,HERPES SIMPLEX ZONDER VERMELDING VAN COMPLICATIE,0,,44823976,1,APPROVED,EQUAL,etl,1639653832291,440021,Herpes simplex without mention of complication,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_07030,"VIRUS HEPATITIS B ZONDER VERMELDING VAN HEPATISCH COMA, ACUUT OF NIET-GESPECIFICEERD, ZONDER VERMELDING VAN HEPATITIS DELTA",0,,44823979,1,APPROVED,EQUAL,etl,1639653832291,198683,"Viral hepatitis B without mention of hepatic coma, acute or unspecified, without mention of hepatitis delta",Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_0741,EPIDEMISCHE PLEURODYNIE,0,,44820563,1,APPROVED,EQUAL,etl,1639653832291,195464,Epidemic pleurodynia,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_0785,CYTOMEGALOVIRUSZIEKTE,0,,44829759,1,APPROVED,EQUAL,etl,1639653832291,440032,Cytomegaloviral disease,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_0794,HUMAAN PAPILLOMAVIRUS,0,,44834441,1,APPROVED,EQUAL,etl,1639653832291,441788,Human papillomavirus in conditions classified elsewhere and of unspecified site,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_07999,NIET-GESPECIFICEERDE VIRALE INFECTIE,0,,44822836,1,APPROVED,EQUAL,etl,1639653832291,440029,Unspecified viral infection,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_1120,CANDIDIASIS VAN DE MOND,0,,44835646,1,APPROVED,EQUAL,etl,1639653832291,29735,Candidiasis of mouth,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_1123,CANDIDIASIS VAN HUID EN NAGELS,0,,44825172,1,APPROVED,EQUAL,etl,1639653832291,4028387,Candidiasis of skin and nails,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_1123,CANDIDIASIS VAN HUID EN NAGELS,0,,44825172,1,APPROVED,EQUAL,etl,1639653832291,433968,Candidiasis of skin and nails,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_11284,CANDIDA OESOFAGITIS,0,,44826371,1,APPROVED,EQUAL,etl,1639653832291,28974,Candidal esophagitis,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_1173,ASPERGILLOSE,0,,44826376,1,APPROVED,EQUAL,etl,1639653832291,434281,Aspergillosis,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_1363,PNEUMOCYSTOSIS,0,,44820593,1,APPROVED,EQUAL,etl,1639653832291,438350,Pneumocystosis,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_1369,NIET GESPECIFICEERDE INFECTIEZIEKTEN EN PARASITAIRE ZIEKTEN,0,,44834472,1,APPROVED,EQUAL,etl,1639653832291,432250,Unspecified infectious and parasitic diseases,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_1410,MALIGNE NEOPLASMA VAN DE TONGBASIS,0,,44825189,1,APPROVED,EQUAL,etl,1639653832291,256633,Malignant neoplasm of base of tongue,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_1441,MALIGNE NEOPLASMA VAN LATERALE DEEL VAN DE MONDBODEM,0,,44835664,1,APPROVED,EQUAL,etl,1639653832291,440344,Malignant neoplasm of lateral portion of floor of mouth,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_1481,MALIGNE NEOPLASMA VAN DE SINUS PYRIFORMIS,0,,44833287,1,APPROVED,EQUAL,etl,1639653832291,435190,Malignant neoplasm of pyriform sinus,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_1488,MALIGNE NEOPLASMA VAN OVERIGE GESPECIFICEERDE LOKALISATIES VAN DE HYPOFARYNX,0,,44830969,1,APPROVED,EQUAL,etl,1639653832291,439746,Malignant neoplasm of other specified sites of hypopharynx,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_1489,"MALIGNE NEOPLASMA VAN DE HYPOFARYNX, NIET GESPECIFICEERD",0,,44826389,1,APPROVED,EQUAL,etl,1639653832291,439746,"Malignant neoplasm of hypopharynx, unspecified site",Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_1504,MALIGNE NEOPLASMA VAN HET MIDDELSTE DERDE DEEL VAN DE OESOFAGUS,0,,44829792,1,APPROVED,EQUAL,etl,1639653832291,437805,Malignant neoplasm of middle third of esophagus,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_1519,"MALIGNE NEOPLASMA VAN DE MAAG, NIET GESPECIFICEERD",0,,44820599,1,APPROVED,EQUAL,etl,1639653832291,196044,"Malignant neoplasm of stomach, unspecified site",Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_1531,MALIGNE NEOPLASMA VAN COLON TRANSVERSUM,0,,44820600,1,APPROVED,EQUAL,etl,1639653832291,432257,Malignant neoplasm of transverse colon,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_1533,MALIGNE NEOPLASMA VAN COLON SIGMOIDEUM,0,,44824023,1,APPROVED,EQUAL,etl,1639653832291,436635,Malignant neoplasm of sigmoid colon,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_1534,MALIGNE NEOPLASMA VAN COECUM,0,,44832119,1,APPROVED,EQUAL,etl,1639653832291,432837,Malignant neoplasm of cecum,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_1539,"MALIGNE NEOPLASMA VAN COLON, NIET GESPECIFICEERD",0,,44827552,1,APPROVED,EQUAL,etl,1639653832291,197500,"Malignant neoplasm of colon, unspecified site",Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_1540,MALIGNE NEOPLASMA VAN OVERGANG VAN SIGMOID IN RECTUM,0,,44822870,1,APPROVED,EQUAL,etl,1639653832291,438699,Malignant neoplasm of rectosigmoid junction,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_1541,MALIGNE NEOPLASMA VAN RECTUM,0,,44825196,1,APPROVED,EQUAL,etl,1639653832291,74582,Malignant neoplasm of rectum,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_1570,MALIGNE NEOPLASMA VAN PANCREAS KOP,0,,44822871,1,APPROVED,EQUAL,etl,1639653832291,440649,Malignant neoplasm of head of pancreas,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_1610,MALIGNE NEOPLASMA VAN GLOTTIS,0,,44832123,1,APPROVED,EQUAL,etl,1639653832291,260336,Malignant neoplasm of glottis,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_1619,"MALIGNE NEOPLASMA VAN LARYNX, NIET GESPECIFICEERD",0,,44832124,1,APPROVED,EQUAL,etl,1639653832291,26052,"Malignant neoplasm of larynx, unspecified",Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_1622,"MALIGNE NEOPLASMA VAN HOOFDBRONCHUS, CARINA, HILUS",0,,44829802,1,APPROVED,EQUAL,etl,1639653832291,257503,Malignant neoplasm of main bronchus,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_1623,"MALIGNE NEOPLASMATA VAN BOVENKWAB, BRONCHUS OF LONG",0,,44825200,1,APPROVED,EQUAL,etl,1639653832291,261236,"Malignant neoplasm of upper lobe, bronchus or lung",Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_1624,"MALIGNE NEOPLASMATA VAN MIDDENKWAB, BRONCHUS OF LONG",0,,44835673,1,APPROVED,EQUAL,etl,1639653832291,256646,"Malignant neoplasm of middle lobe, bronchus or lung",Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_1625,"MALIGNE NEOPLASMATA VAN ONDERKWAB, BRONCHUS OF LONG",0,,44830972,1,APPROVED,EQUAL,etl,1639653832291,4157454,"Malignant neoplasm of lower lobe, bronchus or lung",Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_1628,MALIGNE NEOPLASMATA VAN OVERIGE DELEN VAN BRONCHUS OF LONG,0,,44826401,1,APPROVED,EQUAL,etl,1639653832291,4311499,Malignant neoplasm of other parts of bronchus or lung,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_1731,"MALIGNE NEOPLASMA VAN HUID VAN DE OOGLEDEN, WAARONDER DE CANTHI",0,,44828737,1,APPROVED,EQUAL,etl,1639653832291,435755,"Other and unspecified malignant neoplasm of skin of eyelid, including canthus",Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_1733,MALIGNE NEOPLASMA VAN HUID VAN OVERIGE EN NIET GESPECIFICEERDE DELEN VAN HET GELAAT,0,,44825203,1,APPROVED,EQUAL,etl,1639653832291,136917,Other and unspecified malignant neoplasm of skin of other and unspecified parts of face,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_1735,"MALIGNE NEOPLASMA VAN HUID VAN DE ROMP, BEHALVE HET SCROTUM",0,,44829808,1,APPROVED,EQUAL,etl,1639653832291,133147,"Other and unspecified malignant neoplasm of skin of trunk, except scrotum",Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_1742,MALIGNE NEOPLASMA VAN BOVENSTE-BINNENSTE KWADRANT VAN DE MAMMA VAN DE VROUW,0,,44819435,1,APPROVED,EQUAL,etl,1639653832291,440956,Malignant neoplasm of upper-inner quadrant of female breast,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_1748,MALIGNE NEOPLASMA VAN OVERIGE GESPECIFICEERDE LOKALISATIES VAN DE VROUWELIJKE BORST,0,,44834490,1,APPROVED,EQUAL,etl,1639653832291,137809,Malignant neoplasm of other specified sites of female breast,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_1749,"MALIGNE NEOPLASMA VAN DE VROUWELIJKE BORST, NIET GESPECIFICEERD",0,,44824029,1,APPROVED,EQUAL,etl,1639653832291,137809,"Malignant neoplasm of breast (female), unspecified",Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_185,MALIGNE NEOPLASMA VAN DE PROSTAAT,0,,44822887,1,APPROVED,EQUAL,etl,1639653832291,200962,Malignant neoplasm of prostate,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_1888,MALIGNE NEOPLASMA VAN OVERIGE GESPECIFICEERDE LOKALISATIES VAN DE BLAAS,0,,44822888,1,APPROVED,EQUAL,etl,1639653832291,196360,Malignant neoplasm of other specified sites of bladder,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_1890,"MALIGNE NEOPLASMA VAN NIER, BEHALVE NIERBEKKEN",0,,44819440,1,APPROVED,EQUAL,etl,1639653832291,198985,"Malignant neoplasm of kidney, except pelvis",Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_1960,"LYMFKLIER-METASTASEN EN NIET GESPECIFICEERDE MALIGNE NEOPLASMATA VAN LYMFKLIEREN VAN SCHEDEL, GELAAT, HALS EN NEK",0,,44832135,1,APPROVED,EQUAL,etl,1639653832291,4130839,"Secondary and unspecified malignant neoplasm of lymph nodes of head, face, and neck",Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_1961,LYMFKLIER-METASTASEN EN NIET GESPECIFICEERDE MALIGNE NEOPLASMATA VAN INTRATHORACALE LYMFKLIEREN,0,,44834501,1,APPROVED,EQUAL,etl,1639653832291,4131304,Secondary and unspecified malignant neoplasm of intrathoracic lymph nodes,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_1962,LYMFKLIER-METASTASEN EN NIET GESPECIFICEERDE MALIGNE NEOPLASMATA VAN INTRA-ABDOMINALE LYMFKLIEREN,0,,44821737,1,APPROVED,EQUAL,etl,1639653832291,4131422,Secondary and unspecified malignant neoplasm of intra-abdominal lymph nodes,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_1970,METASTASEN IN LONG,0,,44832136,1,APPROVED,EQUAL,etl,1639653832291,254591,Secondary malignant neoplasm of lung,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_1971,METASTASEN IN MEDIASTINUM,0,,44829822,1,APPROVED,EQUAL,etl,1639653832291,434875,Secondary malignant neoplasm of mediastinum,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_1973,METASTASEN IN OVERIGE ADEMHALINGSORGANEN,0,,44824036,1,APPROVED,EQUAL,etl,1639653832291,35226280,Secondary malignant neoplasm of other respiratory organs,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_1973,METASTASEN IN OVERIGE ADEMHALINGSORGANEN,0,,44824036,1,APPROVED,EQUAL,etl,1639653832291,253717,Secondary malignant neoplasm of other respiratory organs,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_1977,"METASTASEN IN LEVER, GESPECIFICEERD ALS METASTASE",0,,44830990,1,APPROVED,EQUAL,etl,1639653832291,198700,"Malignant neoplasm of liver, secondary",Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_1991,OVERIGE MALIGNE NEOPLASMATA ZONDER SPECIFICATIE VAN LOKALISATIE,0,,44827567,1,APPROVED,EQUAL,etl,1639653832291,443392,Other malignant neoplasm without specification of site,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_20040,"MANTELCELLLYMFOOM, NIET GESPECIFICEERDE LOKALISATIE, EXTRANODALE EN VASTE ORGAAN LOKALISATIE",0,,44829826,1,APPROVED,EQUAL,etl,1639653832291,40481901,"Mantle cell lymphoma, unspecified site, extranodal and solid organ sites",Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_20151,"ZIEKTE VAN HODGKIN, NODULAIRE SCLEROSE, LYMFKLIEREN VAN HOOFD EN HALS",0,,44835699,1,APPROVED,EQUAL,etl,1639653832291,442158,"Hodgkin's disease, nodular sclerosis, lymph nodes of head, face, and neck",Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_20190,"ZIEKTE VAN HODGKIN, NIET GESPECIFICEERD, NIET GESPECIFICEERDE LOKALISATIE, EXTRANODALE EN VASTE ORGAAN LOKALISATIE",0,,44836866,1,APPROVED,EQUAL,etl,1639653832291,4038835,"Hodgkin's disease, unspecified type, unspecified site, extranodal and solid organ sites",Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_20198,"ZIEKTE VAN HODGKIN, NIET GESPECIFICEERD, LYMFKLIEREN VAN MULTIPELE LOKALISATIES",0,,44829837,1,APPROVED,EQUAL,etl,1639653832291,316356,"Hodgkin's disease, unspecified type, lymph nodes of multiple sites",Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_20280,"OVERIGE LYMFOMEN, NIET GESPECIFICEERDE LOKALISATIE, EXTRANODALE EN VASTE ORGAAN LOKALISATIE",0,,44835708,1,APPROVED,EQUAL,etl,1639653832291,432571,"Other malignant lymphomas, unspecified site, extranodal and solid organ sites",Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_20283,"OVERIGE LYMFOMEN, INTRA-ABDOMINALE LYMFKLIEREN",0,,44832154,1,APPROVED,EQUAL,etl,1639653832291,200349,"Other malignant lymphomas, intra-abdominal lymph nodes",Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_20287,"OVERIGE LYMFOMEN, MILT",0,,44835710,1,APPROVED,EQUAL,etl,1639653832291,200343,"Other malignant lymphomas, spleen",Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_20288,"OVERIGE LYMFOMEN, LYMFKLIEREN VAN MULTIPELE LOKALISATIES",0,,44831011,1,APPROVED,EQUAL,etl,1639653832291,132841,"Other malignant lymphomas, lymph nodes of multiple sites",Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_20903,MALIGNE CARCINOID TUMOR VAN HET ILEUM,0,,44836877,1,APPROVED,EQUAL,etl,1639653832291,4311480,Malignant carcinoid tumor of the ileum,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_20903,MALIGNE CARCINOID TUMOR VAN HET ILEUM,0,,44836877,1,APPROVED,EQUAL,etl,1639653832291,46271402,Malignant carcinoid tumor of the ileum,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_20921,MALIGNE CARCINOID TUMOR VAN BRONCHUS EN LONG,0,,44822914,1,APPROVED,EQUAL,etl,1639653832291,40491439,Malignant carcinoid tumor of the bronchus and lung,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_20921,MALIGNE CARCINOID TUMOR VAN BRONCHUS EN LONG,0,,44822914,1,APPROVED,EQUAL,etl,1639653832291,40482859,Malignant carcinoid tumor of the bronchus and lung,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_20971,SECUNDAIRE NEURO-ENDOCRIENE TUMOR IN VERAFGELEGEN LYMFEKLIEREN,0,,44831024,1,APPROVED,EQUAL,etl,1639653832291,318096,Secondary neuroendocrine tumor of distant lymph nodes,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_20971,SECUNDAIRE NEURO-ENDOCRIENE TUMOR IN VERAFGELEGEN LYMFEKLIEREN,0,,44831024,1,APPROVED,EQUAL,etl,1639653832291,45767695,Secondary neuroendocrine tumor of distant lymph nodes,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_20972,SECUNDAIRE NEURO-ENDOCRIENE TUMOR VAN DE LEVER,0,,44836885,1,APPROVED,EQUAL,etl,1639653832291,198700,Secondary neuroendocrine tumor of liver,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_20972,SECUNDAIRE NEURO-ENDOCRIENE TUMOR VAN DE LEVER,0,,44836885,1,APPROVED,EQUAL,etl,1639653832291,45767695,Secondary neuroendocrine tumor of liver,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_20979,SECUNDAIRE NEURO-ENDOCRIENE TUMOR TER HOOGTE VAN ANDERE LOKALISATIES,0,,44828765,1,APPROVED,EQUAL,etl,1639653832291,45767695,Secondary neuroendocrine tumor of other sites,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_2111,BENIGNE NEOPLASMA VAN MAAG,0,,44835724,1,APPROVED,EQUAL,etl,1639653832291,196061,Benign neoplasm of stomach,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_2113,BENIGNE NEOPLASMA VAN COLON,0,,44825241,1,APPROVED,EQUAL,etl,1639653832291,77234,Benign neoplasm of colon,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_2114,BENIGNE NEOPLASMA VAN RECTUM EN ANAAL KANAAL,0,,44836886,1,APPROVED,EQUAL,etl,1639653832291,434303,Benign neoplasm of rectum and anal canal,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_2116,"BENIGNE NEOPLASMA VAN PANCREAS, BEHALVE EILANDJES VAN LANGERHANS",0,,44821768,1,APPROVED,EQUAL,etl,1639653832291,440063,"Benign neoplasm of pancreas, except islets of Langerhans",Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_2123,BENIGNE NEOPLASMA VAN BRONCHUS EN LONG,0,,44826440,1,APPROVED,EQUAL,etl,1639653832291,261255,Benign neoplasm of bronchus and lung,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_2143,LIPOOM VAN INTRA-ABDOMINALE ORGANEN,0,,44835729,1,APPROVED,EQUAL,etl,1639653832291,196654,Lipoma of intra-abdominal organs,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_2167,"BENIGNE NEOPLASMA VAN HUID VAN DE ONDERSTE EXTREMITEIT, WAARONDER DE HEUP",0,,44827600,1,APPROVED,EQUAL,etl,1639653832291,444445,"Benign neoplasm of skin of lower limb, including hip",Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_2252,BENIGNE NEOPLASMA VAN CEREBRALE MENINGEN -HERSENVLIEZEN-,0,,44833353,1,APPROVED,EQUAL,etl,1639653832291,376063,Benign neoplasm of cerebral meninges,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_226,BENIGNE NEOPLASMA VAN DE SCHILDKLIER -GLANDULA THYREOIDEA-,0,,44820666,1,APPROVED,EQUAL,etl,1639653832291,141249,Benign neoplasm of thyroid glands,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_22801,"HEMANGIOOM, HUID EN SUBCUTIS",0,,44833354,1,APPROVED,EQUAL,etl,1639653832291,198400,Hemangioma of skin and subcutaneous tissue,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_22802,"HEMANGIOOM, INTRACRANIELE VATEN",0,,44833355,1,APPROVED,EQUAL,etl,1639653832291,441246,Hemangioma of intracranial structures,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
