sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:modality,ADD_INFO:wise,ADD_INFO:last_date,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
RAD_ZH00000058_CR,CR MFM / Orbita Links,38,,Computed Radiography,CR MFM / Orbita Links - CR: 15,2022-12-15,0.27,UNCHECKED,UNREVIEWED,,0,3034002,CT Orbit,Procedure,MAPS_TO,,<auto>,1679066276234,
RAD_PTHY_MG,punctie thyroid,13,,Mammography,Punctie thyroid - US: 1,2017-04-26,0.58,UNCHECKED,UNREVIEWED,,0,3001462,US Thyroid gland,Procedure,MAPS_TO,,<auto>,1679066276523,
RAD_ZH00000095_CR,CR SMD + Transit,310,,Computed Radiography,CR SMD + Transit - CR: 308,2023-02-13,0.26,UNCHECKED,UNREVIEWED,,0,3048084,MRA Inferior vena cava + tributaries,Procedure,MAPS_TO,,<auto>,1679066276628,
RAD_GBID1_MG,GBID1,7,,Mammography,not in wise,2011-05-26,0.21,UNCHECKED,UNREVIEWED,,0,3024034,US Gallbladder,Procedure,MAPS_TO,,<auto>,1679066276909,
RAD_CAR5_MG,Bil-fp,38,,Mammography,Bil-fp new - RF: 10; Bil-fp new - XA: 1,2016-11-04,0.23,UNCHECKED,UNREVIEWED,,0,4218960,Interleukin-2 therapy,Procedure,MAPS_TO,,<auto>,1679066277099,
RAD_ZH00000527_CR,Flebografie,29,,Computed Radiography,Flebografie - XA: 73; Flebografie - CR: 28; Flebografie - US: 4,2023-02-24,0.65,UNCHECKED,UNREVIEWED,,0,4044347,Ultrasound phlebography,Procedure,MAPS_TO,,<auto>,1679066277243,
RAD_0000008620_XA,coronaro + biopsie,17,,X-Ray Angiography,Coronarografie + biopsie - XA: 11,2023-02-15,0.38,UNCHECKED,UNREVIEWED,,0,36304885,CT Chest WO and CT angiogram Coronary arteries W contrast IV,Procedure,MAPS_TO,,<auto>,1679066277243,
RAD_LPESPCT_MG,Longperf SPECTCT low dose,10,,Mammography,Longperf SPECTCT low dose - NM: 19,2017-08-03,0.31,UNCHECKED,UNREVIEWED,,0,37017298,Low dose computed tomography of thorax,Procedure,MAPS_TO,,<auto>,1679066277243,
RAD_ZH00000467_MR,MR Knie Body Matrix Links,309,,Magnetic Resonance,MR Knie Body Matrix Links - MR: 309,2023-03-15,0.42,UNCHECKED,UNREVIEWED,,0,3005648,MR Knee,Procedure,MAPS_TO,,<auto>,1679066278168,
RAD_TMRAG_MG,MRT Angiografie,1,,Mammography,MRT Angiografie - MR: 1,2009-05-26,0.58,UNCHECKED,UNREVIEWED,,0,4299523,Angiography,Procedure,MAPS_TO,,<auto>,1679066278204,
RAD_ZH00000071_CR,CR Arthro Knie Rechts,13,,Computed Radiography,CR Arthro Knie Rechts - CR: 13,2022-08-18,0.30,UNCHECKED,UNREVIEWED,,0,3049946,CT Knee Arthrogram,Procedure,MAPS_TO,,<auto>,1679066278237,
RAD_ZH00005038_ECG,ICD controle,37,,Electrocardiography,not in wise,2022-11-15,0.38,UNCHECKED,UNREVIEWED,,0,4021823,Pain control,Procedure,MAPS_TO,,<auto>,1679066278490,
RAD_1163_MG,SCAPULA,306,,Mammography,SCAPULA - CR: 198,2015-10-12,0.89,UNCHECKED,UNREVIEWED,,0,40771638,CT Scapula,Procedure,MAPS_TO,,<auto>,1679066279104,
RAD_1325_MG,ERCP + ECTOMIE,7,,Mammography,ERCP + ECTOMIE - RF: 7,2015-03-19,0.47,UNCHECKED,UNREVIEWED,,0,4304943,Endoscopic retrograde cholangiopancreatography,Procedure,MAPS_TO,,<auto>,1679066279284,
RAD_T_ETEEN1_MG,Echo Teen Unilateraal,29,,Mammography,not in wise,2018-04-18,0.34,UNCHECKED,UNREVIEWED,,0,4091145,Evoked oto-acoustic emission measurement,Procedure,MAPS_TO,,<auto>,1679066279300,
RAD_0000008754_CT,CT Schouder Rechts ZIMMER ONE,17,,Computed Tomography,CT Schouder Rechts ZIMMER ONE - CT: 17,2021-05-28,0.36,UNCHECKED,UNREVIEWED,,0,4109146,Application of Zimmer splint,Procedure,MAPS_TO,,<auto>,1679066279750,
RAD_ZH00005079_MG,Whole Bodyscintigrafie inj,1,,Mammography,Whole Bodyscintigrafie inj - OT: 347; Whole Bodyscintigrafie inj - NM: 124; Whole Bodyscintigrafie inj - MG: 1,2018-04-20,0.43,UNCHECKED,UNREVIEWED,,0,4160914,Nuclear medicine imaging procedure,Procedure,MAPS_TO,,<auto>,1679066280312,
RAD_COR-1PTC_MG,CORONARO & 1T PTCA 2 LETSELS,10,,Mammography,not in wise,2012-09-27,0.24,UNCHECKED,UNREVIEWED,,0,4006788,Percutaneous transluminal coronary angioplasty,Procedure,MAPS_TO,,<auto>,1679066280639,
RAD_AORTA T+_MG,A.JODI,29,,Mammography,not in wise,2011-03-11,0.33,UNCHECKED,UNREVIEWED,,0,3006379,MR Upper extremity.joint,Procedure,MAPS_TO,,<auto>,1679066281339,
RAD_ZH00005246_US,diagnostische pleurapunctie,37,,Ultra Sound,diagnostische pleurapunctie - US: 43; diagnostische pleurapunctie - US: 11,2023-02-02,0.54,UNCHECKED,UNREVIEWED,,0,42872668,Diagnostic puncture of bone,Procedure,MAPS_TO,,<auto>,1679066281638,
RAD_T_COC_MG,RX Coccyx,10,,Mammography,not in wise,2018-03-05,0.73,UNCHECKED,UNREVIEWED,,0,4160857,Ultrasonography of coccyx,Procedure,MAPS_TO,,<auto>,1679066281798,
RAD_ZH00000361_MR,MR Hersenen Hypofyse Macro,305,,Magnetic Resonance,MR Hersenen Hypofyse Macro - MR: 338,2023-03-06,0.34,UNCHECKED,UNREVIEWED,,0,3018317,MR Heart,Procedure,MAPS_TO,,<auto>,1679066282170,
RAD_MR1010_MR,MR Defaecografie,17,,Magnetic Resonance,MR Defaecografie - MR: 17,2022-06-23,0.51,UNCHECKED,UNREVIEWED,,0,4347684,Defecating proctogram,Procedure,MAPS_TO,,<auto>,1679066282194,
RAD_ZH00005281_OT,CT Elders Gemaakte Beelden,1,,Other,CT Elders Gemaakte Beelden - CT: 554; CT Elders Gemaakte Beelden - OT: 88; CT Elders Gemaakte Beelden - PT: 33; CT Elders Gemaakte Beelden - SEG: 13; CT Elders Gemaakte Beelden - MR: 10; CT Elders Gemaakte Beelden - NM: 10; CT Elders Gemaakte Beelden - XA: 2; CT Elders Gemaakte Beelden - : 1; CT Elders Gemaakte Beelden - CR: 1; CT Elders Gemaakte Beelden - DX: 1,2022-06-13,0.17,UNCHECKED,UNREVIEWED,,0,42535349,CT of bilateral shoulders with contrast,Procedure,MAPS_TO,,<auto>,1679066282380,
RAD_1551_MG,PNEUMANGIO 1 INV,7,,Mammography,PNEUMANGIO 1 INV - RF: 6,2014-02-27,0.39,UNCHECKED,UNREVIEWED,,0,4168546,Pneumatic splinting,Procedure,MAPS_TO,,<auto>,1679066283150,
RAD_ERCA_MG,ERCP ambulant,10,,Mammography,ERCP ambulant - RF: 1,2010-02-15,0.60,UNCHECKED,UNREVIEWED,,0,4304943,Endoscopic retrograde cholangiopancreatography,Procedure,MAPS_TO,,<auto>,1679066283254,
RAD_ZH00005099_NM,Lymfescintigrafie bovenste ledematen fase 3,12,,Nuclear Medicine,Lymfescintigrafie bovenste ledematen fase 3 - NM: 12,2023-02-17,0.33,UNCHECKED,UNREVIEWED,,0,4160914,Nuclear medicine imaging procedure,Procedure,MAPS_TO,,<auto>,1679066283529,
RAD_ECVA_MG,transvaginale echo,29,,Mammography,Echo transvaginaal - US: 1,2006-02-03,0.80,UNCHECKED,UNREVIEWED,,0,4027510,Transvaginal echography,Procedure,MAPS_TO,,<auto>,1679066283810,
RAD_HP_MG,Hand/pols,304,,Mammography,Hand/pols - RF: 292; Hand/pols - OT: 17; Hand/pols - ES: 13,2017-09-25,0.19,UNCHECKED,UNREVIEWED,,0,4297004,Change in muscle and/or tendon length,Procedure,MAPS_TO,,<auto>,1679066283826,
RAD_0000005153_OT,Therapie I131 TB SPECT (LD) 100-150-200 mCi inn,17,,Other,Therapie I131 TB SPECT (LD) 100-150-200 mCi inn - NM: 12; Therapie I131 met TB SPECT (LD CT) 100-150 mCi inn - OT: 9; Therapie I131 TB SPECT (LD) 100-150-200 mCi inn - OT: 8,2020-06-03,0.42,UNCHECKED,UNREVIEWED,,0,4036252,Iodine 131 therapy,Procedure,MAPS_TO,,<auto>,1679066285100,
RAD_T_MRTEMP_MG,MRI Temp-Mandiblr,12,,Mammography,not in wise,2018-03-30,0.48,UNCHECKED,UNREVIEWED,,0,4202436,MRI of mandible,Procedure,MAPS_TO,,<auto>,1679066285132,
RAD_ZH00005109_CT,"CT HART - Aortaklep calcificaties (-,+)/EKG",37,,Computed Tomography,"CT Evaluatie aortaklep calcificaties (-,+)/EKG - CT: 20; CT HART - Aortaklep calcificaties (-,+)/EKG - CT: 17",2021-06-24,0.22,UNCHECKED,UNREVIEWED,,0,4336605,Decalcification of aortic valve,Procedure,MAPS_TO,,<auto>,1679066285470,
RAD_SMMB2_MG,Supermakroscopie + 2 x minibiopt,1,,Mammography,not in wise,2004-04-21,0.17,UNCHECKED,UNREVIEWED,,0,4160988,Fluoroscopy guided percutaneous transluminal angioplasty of superior mesenteric artery with contrast,Procedure,MAPS_TO,,<auto>,1679066285747,
RAD_T_ERCP1_MG,ERCP Z Papilotomie,29,,Mammography,not in wise,2010-10-08,0.43,UNCHECKED,UNREVIEWED,,0,4304943,Endoscopic retrograde cholangiopancreatography,Procedure,MAPS_TO,,<auto>,1679066285877,
RAD_DENS1500_MG,NULL,16,,Mammography,not in wise,2011-03-24,0.38,UNCHECKED,UNREVIEWED,,0,4300435,Cannulation of ampulla of Vater,Procedure,MAPS_TO,,<auto>,1679066285933,
RAD_0000008708_NM,Sentinel Cervix SPECT/CT (LDCT) inj,7,,Nuclear Medicine,Sentinel Cervix SPECT/CT (LDCT) inj - NM: 7,2023-02-14,0.35,UNCHECKED,UNREVIEWED,,0,4003539,Cervix injection,Procedure,MAPS_TO,,<auto>,1679066286011,
RAD_ASDSN_MG,ASD-SLUITING + NARCOSE,10,,Mammography,ASD-SLUITING + NARCOSE - XA: 10,2017-03-09,0.18,UNCHECKED,UNREVIEWED,,0,2795853,Narcosynthesis,Procedure,MAPS_TO,,<auto>,1679066286549,
RAD_1591_MG,PUNCTIE LEVER,37,,Mammography,PUNCTIE LEVER - RF: 2,2015-07-01,0.53,UNCHECKED,UNREVIEWED,,0,44783762,Puncture of liver,Procedure,MAPS_TO,,<auto>,1679066287087,
RAD_0000008706_NM,Sentinel Borst SPECT/CT (LDCT) inj,304,,Nuclear Medicine,Sentinel Borst SPECT/CT (LDCT) inj - NM: 308,2023-03-14,0.23,UNCHECKED,UNREVIEWED,,0,3038072,US Breast duct W contrast intra duct,Procedure,MAPS_TO,,<auto>,1679066287240,
RAD_CS00000020_US,Stressecho,29,,Ultra Sound,Stressecho - US: 51; Stressecho - US: 1,2021-12-03,0.42,UNCHECKED,UNREVIEWED,,0,37311810,Stress echocardiography,Procedure,MAPS_TO,,<auto>,1679066287264,
RAD_T_CONS_MG,Consultatie,1,,Mammography,not in wise,2015-11-13,0.55,UNCHECKED,UNREVIEWED,,0,764131,Consultation with caregiver,Procedure,MAPS_TO,,<auto>,1679066288018,
RAD_ZH00000133_CT,CT Hersenen Pre-Radiotherapie,16,,Computed Tomography,CT Hersenen Pre-Radiotherapie - CT: 16,2020-03-24,0.45,UNCHECKED,UNREVIEWED,,0,4029715,Radiation oncology AND/OR radiotherapy,Procedure,MAPS_TO,,<auto>,1679066288169,
RAD_ZH00005008_ECG,4 dagen holter,10,,Electrocardiography,not in wise,2022-07-11,0.36,UNCHECKED,UNREVIEWED,,0,4098508,24 Hour ECG,Procedure,MAPS_TO,,<auto>,1679066288422,
RAD_ZH00000245_CT,Conebeam Hand Links,37,,Computed Tomography,Conebeam Hand Links - CT: 34,2023-02-08,0.33,UNCHECKED,UNREVIEWED,,0,37397149,Cone beam CT,Procedure,MAPS_TO,,<auto>,1679066288874,
RAD_ZH00000336_MR,MR Cardio Myocarditis,303,,Magnetic Resonance,MR Cardio Myocarditis - MR: 310,2023-03-08,0.56,UNCHECKED,UNREVIEWED,,0,4082427,Incision of myocardium,Procedure,MAPS_TO,,<auto>,1679066289193,
RAD_ZH00005542_XA,ASD-sluiting + TEE + narcose,7,,X-Ray Angiography,ASD-sluiting - XA: 1,2022-12-22,0.18,UNCHECKED,UNREVIEWED,,0,3048084,MRA Inferior vena cava + tributaries,Procedure,MAPS_TO,,<auto>,1679066289314,
RAD_ZH00000007_OT,CR Hand Botleeftijd,10,,Other,CR Hand Botleeftijd - CR: 1333; CR Hand Botleeftijd - OT: 3;  - CR: 1,2022-11-02,0.21,UNCHECKED,UNREVIEWED,,0,3003252,MR Hand - left,Procedure,MAPS_TO,,<auto>,1679066289712,
RAD_T_MAM_MG,Scintimammografie,1,,Mammography,not in wise,1753-01-01,0.84,UNCHECKED,UNREVIEWED,,0,4302790,Scintimammography,Procedure,MAPS_TO,,<auto>,1679066290107,
RAD_T_CL8BA_MG,ColonB,37,,Mammography,not in wise,2018-04-13,0.33,UNCHECKED,UNREVIEWED,,0,4138003,Computed tomography of colon,Procedure,MAPS_TO,,<auto>,1679066290147,
RAD_ZH00000072_CR,CR Arthro Enkel Links,16,,Computed Radiography,CR Arthro Enkel Links - CR: 11,2023-03-08,0.29,UNCHECKED,UNREVIEWED,,0,4170294,Keller's excision arthroplasty,Procedure,MAPS_TO,,<auto>,1679066290418,
RAD_ZH00000335_MR,MR Cardio Stress-Perfusie,29,,Magnetic Resonance,MR Cardio Stress-Perfusie - MR: 30,2022-08-18,0.49,UNCHECKED,UNREVIEWED,,0,4160417,MRI of perfusion of heart under stress,Procedure,MAPS_TO,,<auto>,1679066290540,
RAD_ZH00005098_NM,Lymfescintigrafie bovenste ledematen fase 1 en 2,12,,Nuclear Medicine,Lymfescintigrafie bovenste ledematen fase 1 en 2 - NM: 12,2023-02-17,0.30,UNCHECKED,UNREVIEWED,,0,4060609,Radioisotope scan of lymphatic system,Procedure,MAPS_TO,,<auto>,1679066290617,
RAD_TMRMA_MG,MRT mammae,16,,Mammography,MRT mammae - MR: 16,2013-08-08,0.31,UNCHECKED,UNREVIEWED,,0,4218605,Removal of intact mammary implant,Procedure,MAPS_TO,,<auto>,1679066291588,
RAD_ARTERIO_MG,Arterio,29,,Mammography,Arterio - XA: 31; Arterio - RF: 2,2017-09-28,0.64,UNCHECKED,UNREVIEWED,,0,4309642,Incision of artery,Procedure,MAPS_TO,,<auto>,1679066291712,
RAD_WMRLM_MG,MRW lidmaat,12,,Mammography,MRW lidmaat - MR: 11,2017-08-16,0.29,UNCHECKED,UNREVIEWED,,0,4122347,Modified Widman flap,Procedure,MAPS_TO,,<auto>,1679066292081,
RAD_CBCTRP_MG,CBCT rotsbeen pseudo,1,,Mammography,not in wise,2016-12-14,0.48,UNCHECKED,UNREVIEWED,,0,1989694,Cone beam CT Teeth,Procedure,MAPS_TO,,<auto>,1679066292096,
RAD_WMRWM_MG,MRW cwz/dwz/lwz,12,,Mammography,MRW cwz/dwz/lwz - MR: 14,2016-10-01,0.09,UNCHECKED,UNREVIEWED,,0,3023629,MRA Unspecified body region W contrast IV,Procedure,MAPS_TO,,<auto>,1679066292680,
RAD_CA2IM2_MG,Cytologie andere 2x + 2x immuno,7,,Mammography,not in wise,2011-08-29,0.35,UNCHECKED,UNREVIEWED,,0,4295112,Immunological therapy,Procedure,MAPS_TO,,<auto>,1679066292753,
RAD_ASA_MG,ALCOHOLISCHE SEPTUM ABLATIE ,10,,Mammography,ALCOHOLISCHE SEPTUM ABLATIE - XA: 12,2016-04-28,0.59,UNCHECKED,UNREVIEWED,,0,4229994,Percutaneous transluminal septal myocardial ablation,Procedure,MAPS_TO,,<auto>,1679066292789,
RAD_GB3IM8_MG,GB3IM8,1,,Mammography,not in wise,2011-09-08,0.12,UNCHECKED,UNREVIEWED,,0,3024034,US Gallbladder,Procedure,MAPS_TO,,<auto>,1679066293570,
RAD_0000005148_OT,Myocardscintigrafie (Tc99m) Stress Fiets inj,302,,Other,Myocardscintigrafie (Tc99m) Stress Fiets inj - OT: 290; Myocardscintigrafie (Tc99m) Stress Fiets inj - NM: 4; Myocardscintigrafie (Tc99m) Stress Fiets inj - MG: 1; Myocardscintigrafie (Tc99m) Stress Fiets inj - CT: 1,2020-06-08,0.42,UNCHECKED,UNREVIEWED,,0,36685418,SPECT CT using Tc99m (technetium 99m) tetrofosmin of myocardial perfusion,Procedure,MAPS_TO,,<auto>,1679066293674,
RAD_0000008864_NM,LuPSMA cyclus 1 scan Dag6,29,,Nuclear Medicine,LuPSMA cyclus 1 scan Dag6 - NM: 33,2022-12-27,0.23,UNCHECKED,UNREVIEWED,,0,4201349,Ultrasonography of toe,Procedure,MAPS_TO,,<auto>,1679066293706,
RAD_T_ERCPO_MG,ERCPO,12,,Mammography,not in wise,2011-11-29,0.74,UNCHECKED,UNREVIEWED,,0,4304943,Endoscopic retrograde cholangiopancreatography,Procedure,MAPS_TO,,<auto>,1679066294226,
RAD_KLEUREND_MG,Small Parts,7,,Mammography,not in wise,2003-02-11,0.35,UNCHECKED,UNREVIEWED,,0,4184913,Partial excision of small intestine,Procedure,MAPS_TO,,<auto>,1679066294384,
RAD_0000008802_US,Duplex-Dopler A/V Onderste Led. + Echo Abdomen,37,,Ultra Sound,Duplex-Dopler A/V Onderste Led. + Echo Abdomen - US: 37,2023-03-09,0.23,UNCHECKED,UNREVIEWED,,0,3013540,MR Abdomen,Procedure,MAPS_TO,,<auto>,1679066294596,
RAD_GB5_MG,Halsted of Pattey,10,,Mammography,not in wise,2011-06-21,0.40,UNCHECKED,UNREVIEWED,,0,4234150,Halsted mastectomy,Procedure,MAPS_TO,,<auto>,1679066294699,
RAD_ZH00005124_CR,CR Bekken + In-en outlet,302,,Computed Radiography,CR Bekken + In-en outlet - CR: 266; CR Bekken + In-en outlet - CR: 24; CR Bekken - In-en outlet - CR: 10; CR Bekken + In-en outlet - OT: 1,2023-03-13,0.25,UNCHECKED,UNREVIEWED,,0,4168543,Bladder outlet operations,Procedure,MAPS_TO,,<auto>,1679066295522,
RAD_0000005129_NM,Nierscintigrafie met DMSA volw scan,16,,Nuclear Medicine,Nierscintigrafie met DMSA volw scan - NM: 15,2021-05-18,0.23,UNCHECKED,UNREVIEWED,,0,3037366,NM Kidney Views W Tc-99m DMSA IV,Procedure,MAPS_TO,,<auto>,1679066295757,
RAD_PDAR_MG,PLAATSEN DARMKATHE,12,,Mammography,not in wise,2000-09-04,0.15,UNCHECKED,UNREVIEWED,,0,2796059,"Pharmacotherapy for Substance Abuse Treatment, Levo-alpha-acetyl-methadol (LAAM)",Procedure,MAPS_TO,,<auto>,1679066296315,
RAD_ZH00000450_MR,MR Pols Scaphoid AVN Rechts,29,,Magnetic Resonance,MR Pols Scaphoid AVN Rechts - MR: 28,2023-03-13,0.37,UNCHECKED,UNREVIEWED,,0,37016644,CT of scaphoid,Procedure,MAPS_TO,,<auto>,1679066296368,
RAD_KMD3I3_MG,KMD3I3,9,,Mammography,not in wise,2011-03-10,0.08,UNCHECKED,UNREVIEWED,,0,4231626,Brockman operation,Procedure,MAPS_TO,,<auto>,1679066296415,
RAD_0000008905_CT,CT Enkel rechts Episealer,1,,Computed Tomography,CT Enkel rechts Episealer - CT: 1,2023-01-26,0.21,UNCHECKED,UNREVIEWED,,0,4127162,Mechanical removal of corneal epithelium,Procedure,MAPS_TO,,<auto>,1679066296431,
RAD_T_EVIN1_MG,Echo Vinger Unilateraal,301,,Mammography,not in wise,2018-04-13,0.28,UNCHECKED,UNREVIEWED,,0,3050656,MG Breast - unilateral Single view,Procedure,MAPS_TO,,<auto>,1679066297667,
RAD_INFWBC_MG,"WBCscan, autologe merking",37,,Mammography,"WBCscan, autologe merking - NM: 35",2017-03-10,0.25,UNCHECKED,UNREVIEWED,,0,2788943,"Transfusion of Autologous White Cells into Central Vein, Open Approach",Procedure,MAPS_TO,,<auto>,1679066297860,
RAD_MB2GB_MG,2x minibiopt + gewone biopsie,16,,Mammography,not in wise,2011-08-12,0.27,UNCHECKED,UNREVIEWED,,0,4005173,Cone biopsy,Procedure,MAPS_TO,,<auto>,1679066298176,
RAD_FSP1_MG,FSP1,301,,Mammography,not in wise,1997-12-31,0.24,UNCHECKED,UNREVIEWED,,0,618477,Education about Summer Food Service Program,Procedure,MAPS_TO,,<auto>,1679066298402,
RAD_KMVBI4_MG,Kleine Macroscopie + vriesbiop + 4 immuno's,7,,Mammography,not in wise,2011-10-11,0.23,UNCHECKED,UNREVIEWED,,0,4164381,Crosbie duodenal biopsy,Procedure,MAPS_TO,,<auto>,1679066298524,
RAD_M210_MG,kl.macro + kl. micro + kl. macro + kl. micro,29,,Mammography,not in wise,1999-06-30,0.29,UNCHECKED,UNREVIEWED,,0,4214176,Integrated optical coherence tomography and scanning laser ophthalmoscopy,Procedure,MAPS_TO,,<auto>,1679066299452,
RAD_ANGIO 1 _MG,A.JODI,7,,Mammography,not in wise,2009-07-29,0.33,UNCHECKED,UNREVIEWED,,0,3006379,MR Upper extremity.joint,Procedure,MAPS_TO,,<auto>,1679066300440,
RAD_ZH00005488_XA,CRT PM-vervanging,9,,X-Ray Angiography,not in wise,2023-02-14,0.37,UNCHECKED,UNREVIEWED,,0,37020292,CT Unspecified body region Post mortem,Procedure,MAPS_TO,,<auto>,1679066300493,
RAD_B1202_MG,ECTOPISCH MAAGSLIJMVLIES,1,,Mammography,ECTOPISCH MAAGSLIJMVLIES - NM: 1,2014-10-14,0.13,UNCHECKED,UNREVIEWED,,0,4184001,Total ischiectomy,Procedure,MAPS_TO,,<auto>,1679066300645,
RAD_ZH00005631_XA,C-boog ERCP,300,,X-Ray Angiography,C-boog ERCP - XA: 364; C-boog ERCP - XA: 28,2023-03-10,0.50,UNCHECKED,UNREVIEWED,,0,4304943,Endoscopic retrograde cholangiopancreatography,Procedure,MAPS_TO,,<auto>,1679066300913,
