source_code,source_term,source_frequency
RAD_T_CSTR,Consultatie Dr Stroef,4466
RAD_1101,VINGER,4385
RAD_CYST,RX cystografie,4381
RAD_T_ELLL,RX Elleboog Li,4359
RAD_ZH00000301,Echo Knie Rechts,4348
RAD_ZH00000411,MR Prostaat Screening,4343
RAD_T_ELLR,RX Elleboog Re,4339
RAD_0000008512,Pacemaker DDD,4339
RAD_LPE,Longperfusie,4300
RAD_OBR,RX onderbeen re,4268
RAD_ZH00000429,MR Schouder Arthro Links,4244
RAD_OL,OL,4244
RAD_ZH00000300,Echo Knie Links,4223
RAD_ZH00000062,CR Arthro Schouder Links,4191
RAD_SLOK,RX slokdarm 6cl,4183
RAD_T_CTHAB,CT Thorax en Abdomen,4161
RAD_ECHO BOR,ECHO BORST,4148
RAD_OBL,RX onderbeen li,4143
RAD_ZH00000044,CR Bekken Calibratiekogel,4105
RAD_1724,OL,4103
RAD_DUKL,DUPLEX ABD/TH,4094
RAD_ZH00000319,Duplex-Dopler Onderste Lidmaat Veneus Links,4056
RAD_FRAX,Botdensitometrie terugbetaald (DEXA),4047
RAD_NEUS,RX Neus,4042
RAD_ZH00000271,Echo Liezen,4017
RAD_1666,CT LIDMAAT (6),3934
RAD_ZH00005113,"CT CORONAIREN - Angio (-,+)/EKG",3918
RAD_9004,ARTHROGRAFIE 4,3887
RAD_T_SCH,RX Schedel,3870
RAD_ZH00000320,Duplex-Dopler Onderste Lidmaat Veneus Rechts,3845
RAD_ZH00000170,CT Urografie,3809
RAD_ZH00000406,MR Lever Coöperatief,3784
RAD_ZH00000345,MR Hersenen Tumor,3732
RAD_IVP,RX IVP,3729
RAD_ZH00000187,CT Onderste Ledematen,3705
RAD_T_ST,RX Sternum/Thorax FP,3678
RAD_CS00000197,BAEP,3670
RAD_MAM2,RX mammo bilateraal,3653
RAD_VINGER,Vinger*,3652
RAD_ZH00000318,Duplex-Dopler Onderste Lidmaten Ven. Bilateraal,3636
RAD_BMCH,Botdensitometrie,3632
RAD_ZH00005213,Videonystagmografie,3556
RAD_ZH00000484,MR Mammo Dynamic,3541
RAD_0000008616,CT Abdomen Standaard zonder contrast,3522
RAD_ELLEBOOG,Ellebo(o)g(en),3490
RAD_0000008607,CR EOS Onderste Ledematen / pre-op 3D / post-op 3D,3456
RAD_EURD,Echo urinair evt doppler,3427
RAD_FSP,RX Full spine 1CL,3413
RAD_T_CABD-,CT Abdomen -,3399
RAD_OPAN,ORTHOPANTOGRAM,3347
RAD_CSBBS,Echo B. Bergez stadscampus,3334
RAD_OAL,RX onderarm li,3327
RAD_CS00000107,NO bronchiaal,3308
RAD_T_RIBL,RX Ribben Li,3279
RAD_T_DLIDKN,duplex kleur 1 x per jaar niet ter bet,3275
RAD_ZH00000297,Echo Enkel Rechts,3274
RAD_1141,ELLEBOOG,3268
RAD_T_RIBR,RX Ribben Re,3262
RAD_ZH00000296,Echo Enkel Links,3245
RAD_0,Pro Deo,3219
RAD_ZH00000472,MR Enkel Standaard Rechts,3178
RAD_BBER,RX bovenbeen re,3166
RAD_MIRU,Myocardscan rust,3161
RAD_BMC,BONE MINERAL CONTENT BEPALING,3151
RAD_T_THSA,RX Thorax EKG  spoed,3151
RAD_BBEL,RX bovenbeen li,3130
RAD_ZH00000144,CT CWZ Trauma,3118
RAD_ZH00000206,CT Bekken,3077
RAD_ZH00000295,Echo Voet Rechts,3061
RAD_ZH00000389,MR DWZ Standaard,3060
RAD_CT LIDMA,CT LIDMAAT (6),3053
RAD_ZH00000010,CR Voorarm Links,3046
RAD_ZH00000471,MR Enkel Standaard Links,3029
RAD_OARM,RX onderarm,3028
RAD_T_CDI,Consultatie Dr Van Iseghem,3008
RAD_ZH00000033,CR Onderbeen Rechts,3002
RAD_ZH00000283,Echo Elleboog Rechts,2995
RAD_CS00000123,Spirometrie met reversibiliteit,2985
RAD_ZH00000392,MR LWZ Postop Micro/Discitis/Meta,2976
RAD_ZH00000294,Echo Voet Links,2955
RAD_T_GASTRO,Gastro Intern,2949
RAD_PTAO,PTA onderbeen,2947
RAD_T_CBSIN,CBCT Sinussen,2944
RAD_ZH00000344,MR Hersenen MS,2920
RAD_ZH00005085,Whole body met SPECT en diagnostische CT inj,2917
RAD_T_CDST,Consultatie De De Sutter,2909
RAD_T_MRCWZ,MRI Cervicale Wervelzuil,2898
RAD_ZH00000279,Echo Pols Rechts,2885
RAD_ZH00005086,Whole body met SPECT en diagnostische CT scan,2874
RAD_B1100,TBSPECT,2821
RAD_ZH00000032,CR Onderbeen Links,2815
RAD_ZH00000132,CT Hersenen Stroke met Perfusie,2802
RAD_MAMMOGRA,MAMMOGRAFIE UNILATERAAL,2802
RAD_T_CKLB,CT Klein Bekken,2793
RAD_TLPE,Th.scan Persantine,2789
RAD_0000005146,Myocardscintigrafie (Tc99m) rust inj,2757
RAD_ZH00000393,MR Sacrum Sacro Ilitis,2749
RAD_MRCA,MR cardio,2747
RAD_HUML,RX humerus li,2746
RAD_VB1,Vriesbiopsie 1x,2721
RAD_ZH00000038,CR Femur Links,2720
RAD_LYSC,Lymfescan,2714
RAD_T_BOTDNT,Botdensitometrie NT,2712
RAD_HUMR,RX humerus re,2710
RAD_ZH00000011,CR Voorarm Rechts,2690
RAD_ZH00000140,CT Hals Standaard,2672
RAD_CT50,CT50,2670
RAD_ZH00000039,CR Femur Rechts,2669
RAD_ZH00000497,Punctie Borst (Anatomopathologie),2660
RAD_ZH00000278,Echo Pols Links,2651
RAD_ZH00000020,CR Clavicula Links,2651
RAD_CWZ6,CWZ6,2650
RAD_TEEN,Toe,2647
RAD_CSGHS,Echo G. Hollanders stadscampus,2613
RAD_T_ESCH1,Echo Schouder Unilateraal,2611
RAD_ZH00005016,SSEP bovenste extremiteiten,2611
RAD_FEM,FEM,2603
RAD_T_CHWD,CT Hals,2592
RAD_GB2,Gewone biopsie 2x,2590
RAD_OAR,RX onderarm re,2585
RAD_ZH00000342,MR Hersenen Migraine,2568
RAD_ZH00005038,ICD controle,2555
RAD_ECTH,Echo thorax,2551
RAD_NMR HOOF,NMR HOOFD,2550
RAD_ZH00000027,CR Teen I II III IV V Rechts,2541
RAD_ZH00000015,CR Humerus Rechts,2540
RAD_CBCTFA,CBCT Faciaal Massief,2535
RAD_GBIM1,Gewone biopsie + 1 immuno,2529
RAD_ECHOHN,Echo Cardio Menen Nachtergaele,2527
RAD_ZH00005464,Fibroscan,2487
RAD_SLIK,RX slikfunctie,2472
RAD_PBOR,Punctie borst,2466
RAD_ZH00000026,CR Teen I II III IV V Links,2452
RAD_ZH00000349,MR Hersenen Dementie,2451
RAD_CS00000333,Echo,2450
RAD_SLMA,Slokdarm.6CL.Maag 2CL,2445
RAD_ZH00005037,PM controle,2440
RAD_ZH00000282,Echo Elleboog Links,2433
RAD_ZH00005419,Echo abdomen (adhoc) D,2429
RAD_ZH00000137,CT Maxillo-Faciaal Massief Zonder Contrast,2417
RAD_T_DUKL,Duplex Kleur,2412
RAD_ZH00000554,Botdensitometrie Terugbetaald,2411
RAD_ECSC,Echo scrotum,2394
RAD_6002,NMR HALS THORAX ABDOMEN,2384
RAD_0000008805,CR Knie Post-OP Links (F/P),2367
RAD_ZH00000014,CR Humerus Links,2354
RAD_0000008806,CR Knie Post-OP Rechts (F/P),2343
RAD_T_GB-,RX Gastricband-,2336
RAD_T_DLIDV1,Duplex Veneus Eenzijdig,2332
RAD_ZH00000120,MA Mammo Verhoogd Risico,2325
RAD_SCHO,SCHO,2306
RAD_ZH00000021,CR Clavicula Rechts,2294
RAD_ZH00000056,CR Schedel,2289
RAD_CLAL,RX clavicula li,2286
RAD_ZH00005270,CR Voet Links Staande,2276
RAD_MIPE,Myocardscan Persantine,2274
RAD_ZH00000665,SPECT-CT LWZ,2261
RAD_T_TEER,RX Teen Re,2260
RAD_ZH00000269,Echo Scrotum,2250
RAD_T_NS,RX Neus,2249
RAD_ZH00000268,Echo Borsten Verhoogd Risico,2248
RAD_ZH00000323,DX Botdensitometrie  LWZ + Beide Heupen,2244
RAD_CBCTHE,CT Accuitomo Radiologie,2220
RAD_NCTWZ,CT Wervelzuil,2209
RAD_T_CPGA,Consultatie Dr Galvao,2196
RAD_CLAR,RX clavicula re,2180
RAD_ZH00000160,CT Abdomen Inflammatie,2170
RAD_T_ONBL,RX Onderbeen Li,2166
RAD_ZH00005272,CR Voet Rechts Staande,2153
RAD_T_HWD,RX Halswekedelen,2142
RAD_ZH00000045,CR Sacro-Iliacale Gewrichten,2129
RAD_ZH00000148,CT LWZ Trauma,2120
RAD_CTAR,CT gewricht met arthrografie,2110
RAD_HUM,RX humerus,2110
RAD_ZH00005105,CT CORONAIREN - Calcium score bepaling (-)/EKG,2092
RAD_ZH00000119,MA Mammo Rechts,2092
RAD_TRAN,RX transit,2089
RAD_HWD,Hals weke delen,2084
RAD_T_ONBR,RX Onderbeen Re,2059
RAD_CTCOR,CT Coronaro,2026
RAD_SCOPIE,Scopie in operatiezaal,2026
RAD_0000005150,Myocardscintigrafie (Tc99m) Stress Farmaco inj,2026
RAD_T_TEEL,RX Teen Li,2013
RAD_CS00000088,Diffusie,2005
RAD_0000005151,Myocardscintigrafie (Tc99m) Stress Farmaco scan,1996
RAD_TER,RX Teen/voorvoet rechts,1991
RAD_ZH00000118,MA Mammo Links,1983
RAD_CBBETT,CT Accuitomo Bettens,1977
RAD_T_MRKNIR,MRI Knie Re,1939
RAD_T_COLOE,Colo Extern,1924
RAD_CSMG,Echo M.Goethals,1919
RAD_ZH00000259,Echo Lever - Galblaas,1901
RAD_0000008793,Microscoop,1883
RAD_21,behandelen zonder repositie van fractuur van 1 vin,1878
RAD_DUBV,Duplex lidmaat bilateraal,1867
RAD_T_MRKNIL,MRI Knie Li,1863
RAD_ZH00005192,Whole body + diagn spect/CT LEDEMATEN scan,1840
RAD_ERC+,Ercp + papillotomie,1827
RAD_CF,cervixcytologie follow-up,1825
RAD_CTAF,CTH AX+FRONT 2X10C,1823
RAD_RIBBEN,Ribben,1816
RAD_1236,RIBBEN,1807
RAD_T_GB+,RX Gastricband+ ,1803
RAD_0000005147,Myocardscintigrafie (Tc99m) rust scan + Ca,1800
RAD_TEL,RX teen/voorvoet li,1795
RAD_ZH00005191,Whole body + diagn spect/CT LEDEMATEN inj,1793
RAD_1162,CLAVICULA,1788
RAD_ZH00000136,CT Sinussen,1783
RAD_ZH00005226,Rhinomanometrie + Allergietesten,1781
RAD_KMIM4,Kleine Macroscopie + 4 immuno's,1772
RAD_ZH00005204,Beenmergpunctie (+/- Botboorbiopsie) adhoc,1766
RAD_ZH00000409,MR Pancreas Coöperatief,1756
RAD_T_VOAL,RX Voorarm Li,1756
RAD_T_SLMA,Slokdarm-Maag,1751
RAD_MYEL-OLD,LUMBALE MYELO 4C,1749
RAD_ZH00000128,CT Hersenen Standaard Zonder/Met Contrast,1746
RAD_EMAR,echo meerdere anat regio's,1744
RAD_SBIM4,Superbiopsie + 4 immuno's,1733
RAD_CT GEWRI,CT GEWRICHT (10),1732
RAD_ZH00000166,CT Pancreas,1725
RAD_T_CMAHE,Consultatieruimte Dr Maes,1725
RAD_CLAVICUL,Sleutelbeen,1721
RAD_1201,ONDERBEEN,1713
RAD_ZH00005239,echo nier/retroperitoneum,1701
RAD_1667,CT GEWRICHT (10),1694
RAD_T_EURO,Echo Urinair,1691
RAD_STE,RX sternum,1684
RAD_ZH00000178,CT Thorax-Abdomen Blanco,1681
RAD_MB2,Minibiopsie 2x,1675
RAD_ZH00005033,MR Fossa Posterior,1673
RAD_ONDERBEE,ONDERBEEN,1650
RAD_CS00000029,24 uurs bloeddrukmeting,1636
RAD_ZH00000156,CT Thorax Hoge Resolutie,1634
RAD_BBEE,RX Bovenbeen,1626
RAD_0000008804,CT Hersenen Stroke zonder Perfusie,1625
RAD_DUAB,duplex TH/ABD/BEK,1625
RAD_1751,MAMMOGRAFIE,1625
RAD_T_CEA,Consultatie Dr Dhondt,1600
RAD_ZH00000181,CT Trauma - Hersenen + CWZ,1598
RAD_ZH00000347,MR Hersenen Metastase,1586
RAD_ZH00000046,CR Sacrum/Coccyx,1581
RAD_ZH00000298,Echo Onderbeen Links,1577
RAD_ZH00005215,BERA,1574
RAD_ZH00000464,MR Bekken Pubalgie,1558
RAD_T_ABURO,RX Abdomen Uro,1557
RAD_ZH00000139,CT Rotsbeenderen,1556
RAD_ZH00005177,EMG,1551
RAD_ARTHROGR,arthro,1532
RAD_CWZ4,CWZ4,1518
RAD_1310,SMD,1517
RAD_T_VOAR,RX Vooram Re,1510
RAD_ZH00000401,MR MRCP Coöperatief,1508
RAD_SCHEDEL,Schedel,1504
RAD_1171,TEEN,1503
RAD_ZH00000299,Echo Onderbeen Rechts,1496
RAD_ZH00000312,Duplex-Dopler Onderste Lidmaten Art. Bilateraal,1491
RAD_0000008502,Holter 24 torhout,1485
RAD_0000008503,TEE + reconversie Rumbeke,1481
RAD_SB2,Superbiopsie 2x,1470
RAD_ZH00000270,Echo Axillae,1463
RAD_N1665,CT WERVELZUIL,1462
RAD_ZH00005187,Spiro en volumes,1462
RAD_1248,DORSAAL,1459
RAD_NCTLM,CT Lidmaat,1458
RAD_T_FEML,RX Femur Li,1456
RAD_ZH00000094,CR Slokdarm + Maag + Duodenum (SMD),1439
RAD_CDROM,opgeladen cd,1438
RAD_6007I,NMR LIDMAAT (IZEGEM),1438
RAD_T_CNM,Consultatie Dr Naessens,1432
RAD_ZH00000179,CT Polytrauma - Total Body,1402
RAD_DORSAAL,DWZ,1397
RAD_ZH00005189,Whole body + diagn spect/CT WERVELZUIL inj,1383
RAD_ZH00000164,CT Abdomen Zonder Contrast Nierinsufficientie,1374
RAD_ZH00005190,Whole body + diagn spect/CT WERVELZUIL scan,1365
RAD_ZH00000129,CT Hersenen Standaard Met Contrast,1362
RAD_8500,DENS1500/-,1361
RAD_ZH00000277,Echo Hand Rechts,1352
RAD_ZH00005415,Onderzoek urinesediment nefrologie (adhoc) D,1344
RAD_T_CCX,Consultatie Dr Verhaert,1334
RAD_ZH00000663,SPECT-CT CWZ,1330
RAD_ZH00000186,CT AAA,1330
RAD_ZH00005446,CT Knie Rechts MAKO-Protocol,1328
RAD_ZH00000145,CT DWZ Standaard,1327
RAD_ZH00000007,CR Hand Botleeftijd,1327
RAD_CS00000193,VEP,1314
RAD_ZH00000149,CT LWZ Postop PLIF,1313
RAD_FCTLWZ,Facetinfiltratie LWZ,1311
RAD_ZH00000184,CT Halsvaten,1310
RAD_ZH00000302,Echo Femur Links,1301
RAD_T_SEK,Toeslag EKG/BA/ASP/TR,1301
